code,prod_cat_search,cat_prod_search,separate_search,group_search,count
01.1.1.1,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.36363636363636365,33
01.1.1.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
01.1.1.3,0.5,0.5,0.25,0.25,4
01.1.1.4,0.6,0.6,0.2,0.6,5
01.1.1.5,0.75,1.0,0.625,0.75,8
01.1.1.9,1.0,1.0,0.8333333333333334,1.0,6
01.1.2.2,0.00684931506849315,0.00684931506849315,0.0,0.005136986301369863,584
01.1.2.3,0.5875912408759124,0.5875912408759124,0.6423357664233577,0.5985401459854015,274
01.1.2.4,0.2987012987012987,0.3116883116883117,0.45454545454545453,0.19480519480519481,77
01.1.2.5,0.16393442622950818,0.19262295081967212,0.2336065573770492,0.16393442622950818,244
01.1.4.1,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.6666666666666666,9
01.1.4.2,0.0,0.0,0.0,0.0,10
01.1.4.3,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.07692307692307693,13
01.1.4.4,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.043478260869565216,23
01.1.4.5,0.6,0.6,0.5,0.6,10
01.1.4.6,0.25,0.3333333333333333,0.25,0.25,12
01.1.4.7,0.16129032258064516,0.22580645161290322,0.16129032258064516,0.06451612903225806,31
01.1.4.8,0.0,0.0,0.2,0.0,5
01.1.5.1,0.0,0.0,0.029411764705882353,0.0,34
01.1.5.2,0.12121212121212122,0.18181818181818182,0.21212121212121213,0.09090909090909091,33
01.1.5.3,0.2,0.2,0.2,0.3,10
01.1.5.9,0.5,0.5,1.0,0.5,2
01.1.6.1,0.0,0.0,0.0,0.0,106
01.1.6.2,0.005263157894736842,0.010526315789473684,0.0,0.021052631578947368,190
01.1.6.3,0.5234899328859061,0.5234899328859061,0.814317673378076,0.5167785234899329,447
01.1.6.4,0.7777777777777778,0.9555555555555556,0.9555555555555556,0.7555555555555555,45
01.1.6.5,0.0,0.0,0.0,0.0,110
01.1.6.7,0.6981132075471698,0.7735849056603774,0.6037735849056604,0.6981132075471698,53
01.1.6.8,0.9420289855072463,0.9710144927536232,0.6086956521739131,0.9565217391304348,69
01.1.6.9,0.3076923076923077,0.3769230769230769,0.6461538461538462,0.36923076923076925,130
01.1.7.1,0.19827586206896552,0.12931034482758622,0.4956896551724138,0.1724137931034483,232
01.1.7.2,0.10071942446043165,0.07194244604316546,0.4748201438848921,0.07913669064748201,139
01.1.7.3,0.625,0.625,0.8125,0.3125,16
01.1.7.4,0.3333333333333333,0.3763440860215054,0.0,0.25806451612903225,93
01.1.7.5,0.5294117647058824,0.6764705882352942,0.5,0.47058823529411764,34
01.1.7.6,0.45714285714285713,0.5142857142857142,0.4714285714285714,0.5,70
01.1.7.7,0.5510204081632653,0.6938775510204082,0.42857142857142855,0.4489795918367347,49
01.1.7.9,0.15,0.125,0.2375,0.0875,80
01.1.8.1,0.0,0.0,0.0,0.0,1
01.1.8.2,0.5,0.5,0.5,0.5,2
01.1.8.3,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,18
01.1.8.4,0.0,0.0,0.0,0.0,1
01.1.8.5,0.06666666666666667,0.2,0.3333333333333333,0.13333333333333333,15
01.1.8.9,1.0,1.0,1.0,1.0,1
01.1.9.1,0.16597510373443983,0.17842323651452283,0.13278008298755187,0.16182572614107885,241
01.1.9.2,0.0,0.0,0.0,0.0,2
01.1.9.3,0.6756756756756757,0.7027027027027027,0.5135135135135135,0.5945945945945946,37
01.1.9.4,0.8260869565217391,0.9565217391304348,0.6086956521739131,0.782608695652174,23
01.1.9.9,0.375,0.375,0.75,0.375,8
01.2.1.0,0.031746031746031744,0.021164021164021163,0.0582010582010582,0.037037037037037035,189
01.2.2.0,0.0,0.0,0.09090909090909091,0.010101010101010102,99
01.2.3.0,0.16535433070866143,0.18110236220472442,0.2755905511811024,0.16535433070866143,127
01.2.4.0,0.2,0.2,0.26666666666666666,0.2,15
01.2.5.0,0.0,0.0,0.0,0.023809523809523808,42
01.2.6.0,0.2,0.19047619047619047,0.1619047619047619,0.18095238095238095,105
01.2.9.0,0.13333333333333333,0.11666666666666667,0.35,0.16666666666666666,60
02.1.1.0,0.2571428571428571,0.2785714285714286,0.05714285714285714,0.2571428571428571,140
02.1.2.1,0.007142857142857143,0.016666666666666666,0.007142857142857143,0.007142857142857143,420
02.1.2.2,0.14814814814814814,0.14814814814814814,0.3333333333333333,0.2222222222222222,27
02.1.3.0,0.027522935779816515,0.027522935779816515,0.027522935779816515,0.027522935779816515,109
02.1.9.0,0.4444444444444444,0.4444444444444444,0.3888888888888889,0.4444444444444444,18
