ID	CODE	NAME_EN	LEVEL	PARENT_ID	PARENT_CODE	InclusionNote	ExclusionNote	caseLaw	NAME_BG	NAME_CS	NAME_DA	NAME_DE	NAME_EL	NAME_ES	NAME_ET	NAME_FI	NAME_GA	NAME_FR	NAME_HR	NAME_HU	NAME_IT	NAME_LT	NAME_LV	NAME_MT	NAME_NL	NAME_PL	NAME_PT	NAME_RO	NAME_SK	NAME_SL	NAME_SV
"01"	"01"	"FOOD AND NON-ALCOHOLIC BEVERAGES"	"1"						"ХРАНИТЕЛНИ ПРОДУКТИ И БЕЗАЛКОХОЛНИ НАПИТКИ"	"POTRAVINY A NEALKOHOLICKÉ NÁPOJE"	"FØDEVARER OG IKKEALKOHOLISKE DRIKKEVARER"	"NAHRUNGSMITTEL UND ALKOHOLFREIE GETRÄNKE"	"ΤΡΟΦΙΜΑ ΚΑΙ ΜΗ ΑΛΚΟΟΛΟΥΧΑ ΠΟΤΑ"	"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"	"TOIT JA ALKOHOLITA JOOGID"	"ELINTARVIKKEET JA ALKOHOLITTOMAT JUOMAT"	"BIA AGUS DEOCHANNA NEAMH-MHEISCIÚLA"	"PRODUITS ALIMENTAIRES ET BOISSONS NON ALCOOLISÉES"	"HRANA I BEZALKOHOLNA PIĆA"	"ÉLELMISZER ÉS ALKOHOLMENTES ITALOK"	"PRODOTTI ALIMENTARI E BEVANDE ANALCOLICHE"	"MAISTAS IR NEALKOHOLINIAI GĖRIMAI"	"PĀRTIKA UN BEZALKOHOLISKIE DZĒRIENI"	"IKEL U XORB MHUX ALKOĦOLIKU"	"VOEDINGSMIDDELEN EN ALCOHOLVRIJE DRANKEN"	"ŻYWNOŚĆ I NAPOJE BEZALKOHOLOWE"	"PRODUTOS ALIMENTARES E BEBIDAS NÃO ALCOÓLICAS"	"ALIMENTE ȘI BĂUTURI NEALCOOLICE"	"POTRAVINY A NEALKOHOLICKÉ NÁPOJE"	"HRANA IN BREZALKOHOLNE PIJAČE"	"LIVSMEDEL OCH ALKOHOLFRIA DRYCKER"
"011"	"01.1"	"Food"	"2"	"01"	"01"	"The food products classified here are those purchased for consumption at home."	"Excludes: \r\n- food products sold for immediate consumption away from the home by hotels, restaurants, cafés, bars, kiosks, street vendors, automatic vending machines, etc. (11.1.1)\r\n- cooked dishes prepared by restaurants for consumption off their premises (11.1.1)\r\n- cooked dishes prepared by catering contractors whether collected by the customer or delivered to the customer's home (11.1.1)\r\n- products sold specifically as pet foods (09.3.4)"		"Хранителни продукти"	"Potraviny"	"Fødevarer"	"Nahrungsmittel"	"Τρόφιμα"	"Alimentos"	"Toit"	"Elintarvikkeet"	"Bia"	"Produits alimentaires"	"Hrana"	"Élelmiszerek"	"Prodotti alimentari"	"Maistas"	"Pārtika"	"Ikel"	"Voedingsmiddelen"	"Żywność"	"Produtos alimentares"	"Alimente"	"Potraviny"	"Hrana"	"Livsmedel"
"0111"	"01.1.1"	"Bread and cereals"	"3"	"011"	"01.1"	"Includes:\r\n- rice in all forms\r\n- maize, wheat, barley, oats, rye and other cereals in the form of grain, flour or meal\r\n- bread and other bakery products (crisp bread, rusks, toasted bread, biscuits, gingerbread, wafers, waffles, crumpets, muffins, croissants, cakes, tarts, pies, quiches, pizzas, etc.)\r\n- mixes and doughs for the preparation of bakery products\r\n- pasta products in all forms\r\n- couscous\r\n- cereal preparations (cornflakes, oatflakes, etc.) and other cereal products (malt, malt flour, malt extract, potato starch, tapioca, sago and other starches)\r\n\r\nAlso includes: \r\n- farinaceous-based products prepared with meat, fish, seafood, cheese, vegetables or fruit"	"Excludes: \r\n- meat pies (01.1.2)\r\n- fish pies (01.1.3)\r\n- sweetcorn (01.1.7)"		"Хляб и зърнени храни"	"Pekárenské výrobky, obiloviny"	"Brød og kornprodukter"	"Brot und Getreideerzeugnisse"	"Ψωμί και δημητριακά"	"Pan y cereales"	"Leib, sai ja teraviljatooted"	"Viljatuotteet ja leipä"	"Arán agus gránaigh"	"Pain et céréales"	"Kruh i žitarice"	"Kenyér és cereáliák"	"Pane e cereali"	"Duona ir grūdų produktai"	"Maize un graudaugi"	"Ħobż u ċereali"	"Brood en granen"	"Pieczywo i produkty zbożowe"	"Pão e cereais"	"Pâine și cereale"	"Chlieb a obilniny"	"Kruh in izdelki iz žit"	"Bröd och spannmål"
"01111"	"01.1.1.1"	"Rice"	"4"	"0111"	"01.1.1"	"Includes:\r\n- rice in all forms, including rice prepared with meat, fish, seafood or vegetables (if rice represents the most important part)"	"Excludes: \r\n- rice flour (01.1.1.2)"		"Ориз"	"Rýže"	"Ris"	"Reis"	"Ρύζι"	"Arroz"	"Riis"	"Riisi"	"Rís"	"Riz"	"Riža"	"Rizs"	"Riso"	"Ryžiai"	"Rīsi"	"Ross"	"Rijst"	"Ryż"	"Arroz"	"Orez"	"Ryža"	"Riž"	"Ris"
"01112"	"01.1.1.2"	"Flours and other cereals"	"4"	"0111"	"01.1.1"	"Includes:\r\n- maize, wheat, barley, oats, rye and other cereals in the form of grain, flour or meal\r\n- rice flour"			"Брашна и други зърнени растения (без ориз)"	"Mouka a jiné obiloviny"	"Mel og andre kornprodukter"	"Mehl und andere Getreideerzeugnisse"	"Άλευρα και λοιπά δημητριακά"	"Harinas y otros cereales"	"Jahu ja tangained"	"Jauhot ja muut viljat"	"Plúir agus gránaigh eile"	"Farines et autres céréales"	"Brašna i ostale žitarice"	"Lisztek és egyéb cereáliák"	"Farina e altri cereali"	"Miltai ir kiti grūdų produktai"	"Milti un citi graudaugi"	"Dqiq u ċereali oħra"	"Bloem en andere granen"	"Mąka i pozostałe zboża"	"Farinhas e outros cereais"	"Făină și alte cereale"	"Múka a ostatné obilniny"	"Moka in drugi izdelki iz žit"	"Mjöl och andra spannmålsprodukter"
"01113"	"01.1.1.3"	"Bread"	"4"	"0111"	"01.1.1"	"Includes:\r\n- bread and bread rolls"			"Хляб"	"Chléb"	"Brød"	"Brot"	"Ψωμί"	"Pan"	"Leib ja sai"	"Leipä"	"Arán"	"Pain"	"Kruh"	"Kenyér"	"Pane"	"Duona"	"Maize"	"Ħobż"	"Brood"	"Pieczywo"	"Pão"	"Pâine"	"Chlieb"	"Kruh"	"Bröd"
"01114"	"01.1.1.4"	"Other bakery products"	"4"	"0111"	"01.1.1"	"Includes:\r\n- crisp bread, rusks, toasted bread, biscuits, gingerbread, wafers, waffles, crumpets, muffins, croissants, cakes, tarts, sweet pies"	"Excludes: \r\n- meat pies (01.1.2.8)\r\n- fish pies (01.1.3.6)"		"Други хлебни и сладкарски изделия"	"Ostatní pekárenské výrobky"	"Andet bagværk"	"Andere Backwaren"	"Άλλα προϊόντα αρτοποιίας"	"Otros productos de panadería"	"Muud pagaritooted"	"Muut leipomotuotteet"	"Táirgí bácúis eile"	"Autres produits de boulangerie"	"Ostali pekarski proizvodi"	"Egyéb pékáru"	"Altri prodotti di panetteria"	"Kiti kepimo produktai"	"Citi konditorejas izstrādājumi"	"Prodotti oħra moħmija"	"Andere bakkerijproducten"	"Pozostałe wyroby piekarskie"	"Outros produtos de padaria"	"Alte produse de panificație"	"Ostatné pekárenské výrobky"	"Drugi pekovski in slaščičarski izdelki"	"Andra bagerivaror"
"01115"	"01.1.1.5"	"Pizza and quiche"	"4"	"0111"	"01.1.1"	"Includes: \r\n- farinaceous-based (flour based) products prepared with meat, fish, seafood, cheese, vegetables or fruit"	"Excludes: \r\n- meat pies (01.1.2.8)\r\n- fish pies (01.1.3.6)"		"Тестени закуски и пици"	"Pizza"	"Pizza og quiche"	"Pizza und Quiche"	"Πίτσα και κις (quiche)"	"Pizza y quiche"	"Pitsa ja quiche"	"Pizzat ja suolaiset piirakat"	"Píotsa agus quiche"	"Pizzas et quiches"	"Pizze i pite"	"Pizza és quiche"	"Pizza e quiche"	"Picos ir pyragai, apkepai su įdaru"	"Picas un pīrāgi"	"Pizza u kixx"	"Pizza en quiche"	"Pizza i inne półprodukty mączne"	"Pizzas e quiches"	"Pizza și tarte sărate de tip quiche"	"Pizza a quiche"	"Pice in pite"	"Pizza och pajer"
"01116"	"01.1.1.6"	"Pasta products and couscous"	"4"	"0111"	"01.1.1"	"Includes:\r\n- ravioli, cannelloni, lasagne etc.\r\n- pasta products in all forms\r\n- couscous, including prepared dishes made basically of pasta or couscous"			"Макаронени изделия и кускус"	"Těstoviny a kuskus"	"Pastaprodukter og couscous"	"Teigwaren und Couscous"	"Ζυμαρικά και κουσκούς"	"Pastas alimenticias y cuscús"	"Pastatooted ja kuskuss"	"Pastatuotteet ja kuskus"	"Táirgí pasta agus cúscúis"	"Pâtes alimentaires et couscous"	"Tjestenine i kuskus"	"Tésztafélék és kuszkusz"	"Pasta e couscous"	"Makaronų gaminiai ir kuskusas"	"Makaronu izstrādājumi un kuskuss"	"Prodotti tal-għaġin u kuskus"	"Pastaproducten en couscous"	"Makarony i produkty makaronowe"	"Massas alimentícias e cuscuz"	"Produse din paste și cușcuș"	"Cestoviny a kuskus"	"Testenine in kuskus"	"Pastaprodukter och couscous"
"01117"	"01.1.1.7"	"Breakfast cereals"	"4"	"0111"	"01.1.1"	"Includes:\r\n- cornflakes, oatflakes, muesli etc."			"Зърнени закуски"	"Snídaňové cereálie"	"Morgenmadscerealier"	"Frühstückszubereitungen"	"Δημητριακά προγεύματος"	"Cereales de desayuno"	"Hommikusöögihelbed"	"Aamiaisviljatuotteet"	"Gránach bricfeasta"	"Céréales pour petit déjeuner"	"Žitne pahuljice za doručak"	"Reggeli gabonapelyhek"	"Cereali per colazione"	"Grūdų dribsniai"	"Brokastu pārslas"	"Ċereali għall-kolazzjon"	"Ontbijtgranen"	"Płatki śniadaniowe"	"Cereais para pequeno-almoço"	"Cereale pentru micul dejun"	"Raňajkové cereálie"	"Žitni kosmiči"	"Frukostflingor"
