Code,Description
01.1.1,Bread and cereals
01.1.1,Rice in all forms
01.1.1,Maize
01.1.1,Wheat
01.1.1,Barley
01.1.1,Oats
01.1.1,Rye
01.1.1,Bread
01.1.1,Crispbread
01.1.1,Rusks
01.1.1,Toasted bread
01.1.1,Biscuits
01.1.1,Gingerbread
01.1.1,Wafers
01.1.1,Waffles
01.1.1,Crumpets
01.1.1,Muffins
01.1.1,Croissants
01.1.1,Cakes
01.1.1,Tarts
01.1.1,Pies
01.1.1,Quiches
01.1.1,Pizzas
01.1.1,Mixes for bakery products
01.1.1,Doughs for bakery products
01.1.1,Pasta products
01.1.1,Couscous
01.1.1,Cornflakes
01.1.1,Oatflakes
01.1.1,Malt
01.1.1,Malt flour
01.1.1,Malt extract
01.1.1,Potato starch
01.1.1,Tapioca
01.1.1,Sago
01.1.1,Farinaceous-based products with meat
01.1.1,Farinaceous-based products with fish
01.1.1,Farinaceous-based products with seafood
01.1.1,Farinaceous-based products with cheese
01.1.1,Farinaceous-based products with vegetables
01.1.1,Farinaceous-based products with fruit
01.1.2,Meat
01.1.2,Fresh bovine meat
01.1.2,Chilled swine meat
01.1.2,Frozen sheep meat
01.1.2,Frozen goat meat
01.1.2,Horse meat
01.1.2,Mule meat
01.1.2,Donkey meat
01.1.2,Camel meat
01.1.2,Chicken meat
01.1.2,Duck meat
01.1.2,Goose meat
01.1.2,Turkey meat
01.1.2,Guinea fowl meat
01.1.2,Hare meat
01.1.2,Rabbit meat
01.1.2,Antelope meat
01.1.2,Deer meat
01.1.2,Boar meat
01.1.2,Pheasant meat
01.1.2,Grouse meat
01.1.2,Pigeon meat
01.1.2,Quail meat
01.1.2,Fresh edible offal
01.1.2,Chilled edible offal
01.1.2,Frozen edible offal
01.1.2,Dried meat
01.1.2,Salted meat
01.1.2,Smoked meat
01.1.2,Sausages
01.1.2,Salami
01.1.2,Bacon
01.1.2,Ham
01.1.2,P�t�
01.1.2,Canned meat
01.1.2,Meat extracts
01.1.2,Meat juices
01.1.2,Meat pies
01.1.2,Seal meat
01.1.2,Walrus meat
01.1.2,Whale meat
01.1.2,Kangaroo meat
01.1.2,Ostrich meat
01.1.2,Alligator meat
01.1.2,Live bovine animals for consumption
01.1.2,Live swine for consumption
01.1.2,Live sheep for consumption
01.1.2,Live goat for consumption
01.1.2,Live poultry for consumption
01.1.3,Fish and seafood
01.1.3,Fresh fish
01.1.3,Chilled fish
01.1.3,Frozen fish
01.1.3,Fresh seafood
01.1.3,Chilled seafood
01.1.3,Frozen seafood
01.1.3,Crustaceans
01.1.3,Molluscs
01.1.3,Other shellfish
01.1.3,Sea snails
01.1.3,Dried fish
01.1.3,Smoked fish
01.1.3,Salted fish
01.1.3,Dried seafood
01.1.3,Smoked seafood
01.1.3,Salted seafood
01.1.3,Canned fish
01.1.3,Canned seafood
01.1.3,Caviar
01.1.3,Other hard roes
01.1.3,Fish pies
01.1.3,Land crabs
01.1.3,Land snails
01.1.3,Frogs
01.1.3,Live fish for consumption
01.1.3,Live seafood for consumption
01.1.4,"Milk, cheese and eggs"
01.1.4,Raw milk
01.1.4,Pasteurized milk
01.1.4,Sterilized milk
01.1.4,Condensed milk
01.1.4,Evaporated milk
01.1.4,Powdered milk
01.1.4,Yoghurt
01.1.4,Cream
01.1.4,Milk-based desserts
01.1.4,Milk-based beverages
01.1.4,Cheese
01.1.4,Curd
01.1.4,Eggs
01.1.4,Egg products
01.1.4,Milk with sugar
01.1.4,Milk with cocoa
01.1.4,Milk with fruit
01.1.4,Milk with flavourings
01.1.4,Cream with sugar
01.1.4,Cream with cocoa
01.1.4,Cream with fruit
01.1.4,Cream with flavourings
01.1.4,Yoghurt with sugar
01.1.4,Yoghurt with cocoa
01.1.4,Yoghurt with fruit
01.1.4,Yoghurt with flavourings
01.1.4,Soya milk
01.1.5,Oils and fats
01.1.5,Butter
01.1.5,Butter oil
01.1.5,Ghee
01.1.5,Margarine
01.1.5,Diet margarine
01.1.5,Peanut butter
01.1.5,Olive oil
01.1.5,Corn oil
01.1.5,Sunflower-seed oil
01.1.5,Cottonseed oil
01.1.5,Soybean oil
01.1.5,Groundnut oil
01.1.5,Walnut oil
01.1.5,Lard
01.1.6,Fruit
01.1.6,Fresh fruit
01.1.6,Chilled fruit
01.1.6,Frozen fruit
01.1.6,Dried fruit
01.1.6,Fruit peel
01.1.6,Fruit kernels
01.1.6,Nuts
01.1.6,Edible seeds
01.1.6,Preserved fruit
01.1.6,Fruit-based products
01.1.6,Melons
01.1.6,Water melons
01.1.7,Vegetables
01.1.7,Fresh asparagus
01.1.7,Chilled broccoli
01.1.7,Frozen cauliflower
01.1.7,Dried spinach
01.1.7,Fresh aubergines
01.1.7,Chilled cucumbers
01.1.7,Frozen courgettes
01.1.7,Fresh green peppers
01.1.7,Dried pumpkins
01.1.7,Fresh tomatoes
01.1.7,Fresh beetroots
01.1.7,Chilled carrots
01.1.7,Frozen onions
01.1.7,Dried parsnips
01.1.7,Fresh radishes
01.1.7,Chilled turnips
01.1.7,Fresh potatoes
01.1.7,Chilled manioc
01.1.7,Frozen arrowroot
01.1.7,Dried cassava
01.1.7,Fresh sweet potatoes
01.1.7,Preserved olives
01.1.7,Processed garlic
01.1.7,Fresh pulses
01.1.7,Chilled sweetcorn
01.1.7,Frozen sea fennel
01.1.7,Dried edible seaweed
01.1.7,Fresh mushrooms
01.1.7,Chilled edible fungi
01.1.7,Frozen chipped potatoes
01.1.7,Dried potato flakes
01.1.7,Fresh potato purée
01.1.7,Chilled potato chips
01.1.7,Frozen potato crisps
01.1.8,"Sugar, jam, honey, chocolate and confectionery"
01.1.8,Cane sugar
01.1.8,Beech sugar
01.1.8,Unrefined sugar
01.1.8,Refined sugar
01.1.8,Powdered sugar
01.1.8,Crystallized sugar
01.1.8,Sugar lumps
01.1.8,Jams
01.1.8,Marmalades
01.1.8,Compotes
01.1.8,Jellies
01.1.8,Fruit purées
01.1.8,Fruit pastes
01.1.8,Natural honey
01.1.8,Artificial honey
01.1.8,Maple syrup
01.1.8,Molasses
01.1.8,Sugar-preserved plant parts
01.1.8,Chocolate bars
01.1.8,Chocolate slabs
01.1.8,Chewing gum
01.1.8,Sweets
01.1.8,Toffees
01.1.8,Pastilles
01.1.8,Cocoa-based foods
01.1.8,Cocoa-based desserts
01.1.8,Edible ice
01.1.8,Ice cream
01.1.8,Sorbet
01.1.8,Artificial sugar substitutes
01.1.9,Food products n.e.c.
01.1.9,Salt
01.1.9,"Spices (pepper, pimento, ginger)"
01.1.9,"Culinary herbs (parsley, rosemary, thyme)"
01.1.9,Sauces
01.1.9,Condiments
01.1.9,"Seasonings (mustard, mayonnaise, ketchup, soy sauce)"
01.1.9,Vinegar
01.1.9,Prepared baking powders
01.1.9,Baker's yeast
01.1.9,Dessert preparations
01.1.9,Soups
01.1.9,Broths
01.1.9,Stocks
01.1.9,Culinary ingredients
01.1.9,Homogenized baby food
01.1.9,Dietary preparations
01.2.1,"Coffee, tea and cocoa"
01.2.1,"coffee, whether or not decaffeinated, roasted or ground, including instant coffee"
01.2.1,"tea, mate and other plant products for infusions"
01.2.1,"cocoa, whether or not sweetened, and chocolate-based powder"
01.2.1,cocoa-based beverage preparations
01.2.1,coffee and tea substitutes
01.2.1,extracts and essences of coffee and tea
01.2.2,"Mineral waters, soft drinks, fruit and vegetable juices"
01.2.2,Mineral or spring waters
01.2.2,Drinking water sold in containers
01.2.2,Soft drinks
01.2.2,Sodas
01.2.2,Lemonades
01.2.2,Colas
01.2.2,Fruit juices
01.2.2,Vegetable juices
01.2.2,Syrups for the preparation of beverages
01.2.2,Concentrates for the preparation of beverages
02.1.1,Spirits
02.1.1,Eaux-de-vie
02.1.1,Liqueurs
02.1.1,Mead
02.1.1,Aperitifs other than wine-based aperitifs
02.1.2,Wine
02.1.2,Wine
02.1.2,Cider
02.1.2,Perry
02.1.2,Sake
02.1.2,Wine-based aperitifs
02.1.2,Fortified wines
02.1.2,Champagne
02.1.2,Other sparkling wines
02.1.3,Beer
02.1.3,ale
02.1.3,lager
02.1.3,porter
02.1.3,low-alcoholic beer
02.1.3,non-alcoholic beer
02.1.3,shandy
02.2.0,Tobacco
02.2.0,cigarettes
02.2.0,cigarette tobacco
02.2.0,cigarette papers
02.2.0,cigars
02.2.0,pipe tobacco
02.2.0,chewing tobacco
02.2.0,snuff
02.3.0,Narcotics
02.3.0,Marijuana
02.3.0,Opium
02.3.0,Cocaine
02.3.0,Derivatives of marijuana
02.3.0,Derivatives of opium
02.3.0,Derivatives of cocaine
02.3.0,Cola nuts
02.3.0,Betel leaves
02.3.0,Betel nuts
02.3.0,Chemicals
02.3.0,Man-made drugs
03.1.1,Clothing materials
03.1.1,"Clothing made of natural fibres such as cotton, wool, and silk"
03.1.1,"Clothing made of man-made fibres such as polyester, nylon, and spandex"
03.1.1,Clothing made of mixtures of natural and man-made fibres such as cotton-polyester blends and wool-nylon blends
03.1.2,Garments
03.1.2,Garments for men
03.1.2,Garments for women
03.1.2,Garments for children (3 to 13 years)
03.1.2,Garments for infants (0 to 2 years)
03.1.2,Ready-to-wear garments
03.1.2,Made-to-measure garments
03.1.2,Leather garments
03.1.2,Fur garments
03.1.2,Plastic garments
03.1.2,Rubber garments
03.1.2,Everyday wear garments
03.1.2,Sportswear
03.1.2,Workwear
03.1.2,Capes
03.1.2,Overcoats
03.1.2,Raincoats
03.1.2,Anoraks
03.1.2,Parkas
03.1.2,Blousons
03.1.2,Jackets
03.1.2,Trousers
03.1.2,Waistcoats
03.1.2,Suits
03.1.2,Costumes
03.1.2,Dresses
03.1.2,Skirts
03.1.2,Shirts
03.1.2,Blouses
03.1.2,Pullovers
03.1.2,Sweaters
03.1.2,Cardigans
03.1.2,Shorts
03.1.2,Swimsuits
03.1.2,Tracksuits
03.1.2,Jogging suits
03.1.2,Sweatshirts
03.1.2,T-shirts
03.1.2,Leotards
03.1.2,Vests
03.1.2,Underpants
03.1.2,Socks
03.1.2,Stockings
03.1.2,Tights
03.1.2,Petticoats
03.1.2,Brassieres
03.1.2,Knickers
03.1.2,Slips
03.1.2,Girdles
03.1.2,Corsets
03.1.2,Body stockings
03.1.2,Pyjamas
03.1.2,Nightshirts
03.1.2,Nightdresses
03.1.2,Housecoats
03.1.2,Dressing gowns
03.1.2,Bathrobes
03.1.2,Baby clothes
03.1.2,Babies' booties made of fabric
03.1.3,Other articles of clothing and clothing accessories
03.1.3,Ties
03.1.3,Handkerchiefs
03.1.3,Scarves
03.1.3,Squares
03.1.3,Gloves
03.1.3,Mittens
03.1.3,Muffs
03.1.3,Belts
03.1.3,Braces
03.1.3,Aprons
03.1.3,Smocks
03.1.3,Bibs
03.1.3,Sleeve protectors
03.1.3,Hats
03.1.3,Caps
03.1.3,Berets
03.1.3,Bonnets
03.1.3,Sewing threads
03.1.3,Knitting yarns
03.1.3,Buckles
03.1.3,Buttons
03.1.3,Press studs
03.1.3,Zip fasteners
03.1.3,Ribbons
03.1.3,Laces
03.1.3,Trimmings
03.1.3,Gardening gloves
03.1.3,Working gloves
03.1.3,Crash helmets for motorcycles
03.1.3,Crash helmets for bicycles
03.1.4,"Cleaning, repair and hire of clothing"
03.1.4,Dry-cleaning of garments
03.1.4,Laundering of garments
03.1.4,Dyeing of garments
03.1.4,Darning of garments
03.1.4,Mending of garments
03.1.4,Repair of garments
03.1.4,Altering of garments
03.1.4,Hire of garments
03.1.4,"Total value of repair service for clothing, including labour and materials"
03.2.1,Shoes and other footwear
03.2.1,Shoes for men
03.2.1,Shoes for women
03.2.1,Shoes for children aged 3 to 13 years
03.2.1,Shoes for infants aged 0 to 2 years
03.2.1,Sports footwear for jogging
03.2.1,Sports footwear for cross-training
03.2.1,Sports footwear for tennis
03.2.1,Sports footwear for basketball
03.2.1,Sports footwear for boating
