Code,Description
01.1.1,Bread and cereals
01.1.1,Rice in all forms
01.1.1,Maize as grain
01.1.1,Maize as flour
01.1.1,Maize as meal
01.1.1,Wheat as grain
01.1.1,Wheat as flour
01.1.1,Wheat as meal
01.1.1,Barley as grain
01.1.1,Barley as flour
01.1.1,Barley as meal
01.1.1,Oats as grain
01.1.1,Oats as flour
01.1.1,Oats as meal
01.1.1,Rye as grain
01.1.1,Rye as flour
01.1.1,Rye as meal
01.1.1,Bread
01.1.1,Crispbread
01.1.1,Rusks
01.1.1,Toasted bread
01.1.1,Biscuits
01.1.1,Gingerbread
01.1.1,Wafers
01.1.1,Waffles
01.1.1,Crumpets
01.1.1,Muffins
01.1.1,Croissants
01.1.1,Cakes
01.1.1,Tarts
01.1.1,Pies
01.1.1,Quiches
01.1.1,Pizzas
01.1.1,Mixes for bakery products
01.1.1,Doughs for bakery products
01.1.1,Pasta products in all forms
01.1.1,Couscous
01.1.1,Cornflakes
01.1.1,Oatflakes
01.1.1,Malt
01.1.1,Malt flour
01.1.1,Malt extract
01.1.1,Potato starch
01.1.1,Tapioca
01.1.1,Sago
01.1.1,Farinaceous-based products with meat
01.1.1,Farinaceous-based products with fish
01.1.1,Farinaceous-based products with seafood
01.1.1,Farinaceous-based products with cheese
01.1.1,Farinaceous-based products with vegetables
01.1.1,Farinaceous-based products with fruit
01.1.2,Meat
01.1.2,Fresh meat of bovine animals
01.1.2,Chilled meat of bovine animals
01.1.2,Frozen meat of bovine animals
01.1.2,Fresh meat of swine
01.1.2,Chilled meat of swine
01.1.2,Frozen meat of swine
01.1.2,Fresh meat of sheep
01.1.2,Chilled meat of sheep
01.1.2,Frozen meat of sheep
01.1.2,Fresh meat of goat
01.1.2,Chilled meat of goat
01.1.2,Frozen meat of goat
01.1.2,Fresh meat of horse
01.1.2,Chilled meat of horse
01.1.2,Frozen meat of horse
01.1.2,Fresh meat of mule
01.1.2,Chilled meat of mule
01.1.2,Frozen meat of mule
01.1.2,Fresh meat of donkey
01.1.2,Chilled meat of donkey
01.1.2,Frozen meat of donkey
01.1.2,Fresh meat of camel
01.1.2,Chilled meat of camel
01.1.2,Frozen meat of camel
01.1.2,Fresh meat of chicken
01.1.2,Chilled meat of chicken
01.1.2,Frozen meat of chicken
01.1.2,Fresh meat of duck
01.1.2,Chilled meat of duck
01.1.2,Frozen meat of duck
01.1.2,Fresh meat of goose
01.1.2,Chilled meat of goose
01.1.2,Frozen meat of goose
01.1.2,Fresh meat of turkey
01.1.2,Chilled meat of turkey
01.1.2,Frozen meat of turkey
01.1.2,Fresh meat of guinea fowl
01.1.2,Chilled meat of guinea fowl
01.1.2,Frozen meat of guinea fowl
01.1.2,Fresh meat of hare
01.1.2,Chilled meat of hare
01.1.2,Frozen meat of hare
01.1.2,Fresh meat of rabbit
01.1.2,Chilled meat of rabbit
01.1.2,Frozen meat of rabbit
01.1.2,Fresh meat of antelope
01.1.2,Chilled meat of antelope
01.1.2,Frozen meat of antelope
01.1.2,Fresh meat of deer
01.1.2,Chilled meat of deer
01.1.2,Frozen meat of deer
01.1.2,Fresh meat of boar
01.1.2,Chilled meat of boar
01.1.2,Frozen meat of boar
01.1.2,Fresh meat of pheasant
01.1.2,Chilled meat of pheasant
01.1.2,Frozen meat of pheasant
01.1.2,Fresh meat of grouse
01.1.2,Chilled meat of grouse
01.1.2,Frozen meat of grouse
01.1.2,Fresh meat of pigeon
01.1.2,Chilled meat of pigeon
01.1.2,Frozen meat of pigeon
01.1.2,Fresh meat of quail
01.1.2,Chilled meat of quail
01.1.2,Frozen meat of quail
01.1.2,Fresh edible offal
01.1.2,Chilled edible offal
01.1.2,Frozen edible offal
01.1.2,Dried meat
01.1.2,Salted meat
01.1.2,Smoked meat
01.1.2,Dried edible offal
01.1.2,Salted edible offal
01.1.2,Smoked edible offal
01.1.2,Sausages
01.1.2,Salami
01.1.2,Bacon
01.1.2,Ham
01.1.2,Pâté
01.1.2,Dried meat of seals
01.1.2,Chilled meat of seals
01.1.2,Frozen meat of seals
01.1.2,Dried meat of walruses
01.1.2,Chilled meat of walruses
01.1.2,Frozen meat of walruses
01.1.2,Dried meat of whales
01.1.2,Chilled meat of whales
01.1.2,Frozen meat of whales
01.1.2,Fresh meat of kangaroo
01.1.2,Chilled meat of kangaroo
01.1.2,Frozen meat of kangaroo
01.1.2,Fresh meat of ostrich
01.1.2,Chilled meat of ostrich
01.1.2,Frozen meat of ostrich
01.1.2,Fresh meat of alligator
01.1.2,Chilled meat of alligator
01.1.2,Frozen meat of alligator
01.1.2,Canned meat
01.1.2,Meat extracts
01.1.2,Meat juices
01.1.2,Meat pies
01.1.3,Fish and seafood
01.1.3,Fresh fish
01.1.3,Chilled fish
01.1.3,Frozen fish
01.1.3,Fresh chilled crustaceans
01.1.3,Frozen crustaceans
01.1.3,Fresh chilled molluscs
01.1.3,Frozen molluscs
01.1.3,Fresh chilled shellfish
01.1.3,Frozen shellfish
01.1.3,Fresh chilled sea snails
01.1.3,Frozen sea snails
01.1.3,Dried fish
01.1.3,Smoked fish
01.1.3,Salted fish
01.1.3,Dried seafood
01.1.3,Smoked seafood
01.1.3,Salted seafood
01.1.3,Canned fish
01.1.3,Canned seafood
01.1.3,Caviar
01.1.3,Hard roes
01.1.3,Fish pies
01.1.3,Land crabs
01.1.3,Land snails
01.1.3,Frogs
01.1.3,Live fish for consumption as food
01.1.3,Live seafood for consumption as food
01.1.4,"Milk, cheese and eggs"
01.1.4,Raw milk
01.1.4,Pasteurized milk
01.1.4,Sterilized milk
01.1.4,Condensed milk
01.1.4,Evaporated milk
01.1.4,Powdered milk
01.1.4,Yoghurt
01.1.4,Cream
01.1.4,Milk-based desserts
01.1.4,Milk-based beverages
01.1.4,Cheese
01.1.4,Curd
01.1.4,Eggs
01.1.4,Egg products made wholly from eggs
01.1.4,Milk containing sugar
01.1.4,Cream containing sugar
01.1.4,Yoghurt containing sugar
01.1.4,Milk containing cocoa
01.1.4,Cream containing cocoa
01.1.4,Yoghurt containing cocoa
01.1.4,Milk containing fruit
01.1.4,Cream containing fruit
01.1.4,Yoghurt containing fruit
01.1.4,Milk containing flavourings
01.1.4,Cream containing flavourings
01.1.4,Yoghurt containing flavourings
01.1.4,Soya milk
01.1.5,Oils and fats
01.1.5,Butter
01.1.5,Butter oil
01.1.5,Ghee
01.1.5,Margarine
01.1.5,Diet margarine
01.1.5,Vegetable fats
01.1.5,Peanut butter
01.1.5,Olive oil
01.1.5,Corn oil
01.1.5,Sunflower-seed oil
01.1.5,Cottonseed oil
01.1.5,Soybean oil
01.1.5,Groundnut oil
01.1.5,Walnut oil
01.1.5,Lard
01.1.6,Fruit
01.1.6,Fresh fruit
01.1.6,Chilled fruit
01.1.6,Frozen fruit
01.1.6,Dried fruit
01.1.6,Fruit peel
01.1.6,Fruit kernels
01.1.6,Nuts
01.1.6,Edible seeds
01.1.6,Preserved fruit
01.1.6,Fruit-based products
01.1.6,Melons
01.1.6,Watermelons
01.1.7,Vegetables
01.1.7,Fresh vegetables cultivated for their leaves or stalks such as asparagus
01.1.7,Fresh vegetables cultivated for their leaves or stalks such as broccoli
01.1.7,Fresh vegetables cultivated for their leaves or stalks such as cauliflower
01.1.7,Fresh vegetables cultivated for their leaves or stalks such as endives
01.1.7,Fresh vegetables cultivated for their leaves or stalks such as fennel
01.1.7,Fresh vegetables cultivated for their leaves or stalks such as spinach
01.1.7,Fresh vegetables cultivated for their fruit such as aubergines
01.1.7,Fresh vegetables cultivated for their fruit such as cucumbers
01.1.7,Fresh vegetables cultivated for their fruit such as courgettes
01.1.7,Fresh vegetables cultivated for their fruit such as green peppers
01.1.7,Fresh vegetables cultivated for their fruit such as pumpkins
01.1.7,Fresh vegetables cultivated for their fruit such as tomatoes
01.1.7,Fresh vegetables cultivated for their roots such as beetroots
01.1.7,Fresh vegetables cultivated for their roots such as carrots
01.1.7,Fresh vegetables cultivated for their roots such as onions
01.1.7,Fresh vegetables cultivated for their roots such as parsnips
01.1.7,Fresh vegetables cultivated for their roots such as radishes
01.1.7,Fresh vegetables cultivated for their roots such as turnips
01.1.7,Chilled vegetables cultivated for their leaves or stalks such as asparagus
01.1.7,Chilled vegetables cultivated for their leaves or stalks such as broccoli
01.1.7,Chilled vegetables cultivated for their leaves or stalks such as cauliflower
01.1.7,Chilled vegetables cultivated for their leaves or stalks such as endives
01.1.7,Chilled vegetables cultivated for their leaves or stalks such as fennel
01.1.7,Chilled vegetables cultivated for their leaves or stalks such as spinach
01.1.7,Chilled vegetables cultivated for their fruit such as aubergines
01.1.7,Chilled vegetables cultivated for their fruit such as cucumbers
01.1.7,Chilled vegetables cultivated for their fruit such as courgettes
01.1.7,Chilled vegetables cultivated for their fruit such as green peppers
01.1.7,Chilled vegetables cultivated for their fruit such as pumpkins
01.1.7,Chilled vegetables cultivated for their fruit such as tomatoes
01.1.7,Chilled vegetables cultivated for their roots such as beetroots
01.1.7,Chilled vegetables cultivated for their roots such as carrots
01.1.7,Chilled vegetables cultivated for their roots such as onions
01.1.7,Chilled vegetables cultivated for their roots such as parsnips
01.1.7,Chilled vegetables cultivated for their roots such as radishes
01.1.7,Chilled vegetables cultivated for their roots such as turnips
01.1.7,Frozen vegetables cultivated for their leaves or stalks such as asparagus
01.1.7,Frozen vegetables cultivated for their leaves or stalks such as broccoli
01.1.7,Frozen vegetables cultivated for their leaves or stalks such as cauliflower
01.1.7,Frozen vegetables cultivated for their leaves or stalks such as endives
01.1.7,Frozen vegetables cultivated for their leaves or stalks such as fennel
01.1.7,Frozen vegetables cultivated for their leaves or stalks such as spinach
01.1.7,Frozen vegetables cultivated for their fruit such as aubergines
01.1.7,Frozen vegetables cultivated for their fruit such as cucumbers
01.1.7,Frozen vegetables cultivated for their fruit such as courgettes
01.1.7,Frozen vegetables cultivated for their fruit such as green peppers
01.1.7,Frozen vegetables cultivated for their fruit such as pumpkins
01.1.7,Frozen vegetables cultivated for their fruit such as tomatoes
01.1.7,Frozen vegetables cultivated for their roots such as beetroots
01.1.7,Frozen vegetables cultivated for their roots such as carrots
01.1.7,Frozen vegetables cultivated for their roots such as onions
01.1.7,Frozen vegetables cultivated for their roots such as parsnips
01.1.7,Frozen vegetables cultivated for their roots such as radishes
01.1.7,Frozen vegetables cultivated for their roots such as turnips
01.1.7,Dried vegetables cultivated for their leaves or stalks such as asparagus
01.1.7,Dried vegetables cultivated for their leaves or stalks such as broccoli
01.1.7,Dried vegetables cultivated for their leaves or stalks such as cauliflower
01.1.7,Dried vegetables cultivated for their leaves or stalks such as endives
01.1.7,Dried vegetables cultivated for their leaves or stalks such as fennel
01.1.7,Dried vegetables cultivated for their leaves or stalks such as spinach
01.1.7,Dried vegetables cultivated for their fruit such as aubergines
01.1.7,Dried vegetables cultivated for their fruit such as cucumbers
01.1.7,Dried vegetables cultivated for their fruit such as courgettes
01.1.7,Dried vegetables cultivated for their fruit such as green peppers
01.1.7,Dried vegetables cultivated for their fruit such as pumpkins
01.1.7,Dried vegetables cultivated for their fruit such as tomatoes
01.1.7,Dried vegetables cultivated for their roots such as beetroots
01.1.7,Dried vegetables cultivated for their roots such as carrots
01.1.7,Dried vegetables cultivated for their roots such as onions
01.1.7,Dried vegetables cultivated for their roots such as parsnips
01.1.7,Dried vegetables cultivated for their roots such as radishes
01.1.7,Dried vegetables cultivated for their roots such as turnips
01.1.7,Fresh or chilled potatoes
01.1.7,Fresh or chilled manioc
01.1.7,Fresh or chilled arrowroot
01.1.7,Fresh or chilled cassava
01.1.7,Fresh or chilled sweet potatoes
01.1.7,Preserved or processed vegetables
01.1.7,Processed vegetable-based products
01.1.7,Tuber vegetables flours
01.1.7,Tuber vegetables meals
01.1.7,Tuber vegetables flakes
01.1.7,Tuber vegetables pur�es
01.1.7,Tuber vegetables chips
