code,title
01.1.1.3,Bread and bakery products
01.1.1.3,Whole wheat bread
01.1.1.3,Sourdough rolls
01.1.1.3,Rye crispbread
01.1.1.3,Wheat crackers
01.1.1.3,Corn tortillas
01.1.1.3,Teff injera
01.1.1.3,Plain pizza base
01.1.1.3,Gingerbread men
01.1.1.3,Chocolate chip cookies
01.1.1.3,Oatmeal biscuits
01.1.1.3,Vanilla wafers
01.1.1.3,Sugar cones
01.1.1.3,English muffins
01.1.1.3,Butter croissants
01.1.1.3,Fruit tarts
01.1.1.3,Cream pies
01.1.1.3,Angel food cake
01.1.1.4,Breakfast cereals
01.1.1.4,Frosted Flakes
01.1.1.4,Quick Oats
01.1.1.4,Raisin Bran
01.1.1.4,Nutty Muesli
01.1.1.4,Honey Almond Granola
01.1.1.4,Puffed Wheat
01.1.1.4,Rice Krispies
01.1.1.9,Other milled cereal and grain products
01.1.1.9,Wheat flour dough
01.1.1.9,Popped corn kernels
01.1.1.9,Oatmeal granola bar
01.1.1.9,Barley malt extract
01.1.1.9,Rice cereal crisps
01.1.1.9,Wheat seitan
01.1.2.2,"Meat, fresh, chilled or frozen"
01.1.2.2,Beef tenderloin
01.1.2.2,Water buffalo flank
01.1.2.2,Pork shoulder
01.1.2.2,Goat leg
01.1.2.2,Lamb chops
01.1.2.2,Chicken breast
01.1.2.2,Duck confit
01.1.2.2,Goose liver
01.1.2.2,Turkey sausage
01.1.2.2,Guinea fowl ballotine
01.1.2.2,Hare saddle
01.1.2.2,Rabbit loin
01.1.2.2,Horse steak
01.1.2.2,Donkey stew
01.1.2.2,Camel roast
01.1.2.2,Alpaca burger
01.1.2.2,Llama jerky
01.1.2.2,Guanaco chili
01.1.2.2,Vicuna stew
01.1.2.2,Antelope steak
01.1.2.2,Venison haunch
01.1.2.2,Wild boar bacon
01.1.2.2,Kangaroo tail
01.1.2.2,Ostrich steak
01.1.2.2,Emu sausage
01.1.2.2,Rhea cutlet
01.1.2.2,Pheasant breast
01.1.2.2,Grouse pie
01.1.2.2,Pigeon breast
01.1.2.2,Quail eggs
01.1.2.2,Snake fillet
01.1.2.2,Alligator ribs
01.1.2.2,Spider skewers
01.1.2.2,Scorpion stir-fry
01.1.2.2,Mealworms
01.1.2.2,Terrestrial snails
01.1.2.2,Frog legs
01.1.2.2,Minced beef
01.1.2.2,Minced pork
01.1.2.2,Seal steak
01.1.2.2,Walrus steak
01.1.2.2,Whale blubber
01.1.2.3,"Meat, dried, salted, in brine or smoked"
01.1.2.3,Beef jerky
01.1.2.3,Salted pork belly
01.1.2.3,Smoked venison
01.1.2.3,Dry-cured ham
01.1.2.3,Smoked bacon
01.1.2.3,Air-dried salami
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked"
01.1.2.4,Beef tongue
01.1.2.4,Pork blood
01.1.2.4,Lamb tripe
01.1.2.4,Chicken gizzards
01.1.2.4,Pig trotters
01.1.2.4,Smoked beef heart
01.1.2.4,Salted sheep intestines
01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals"
01.1.2.5,Pork sausage
01.1.2.5,Beef sausage
01.1.2.5,Chicken sausage
01.1.2.5,Lamb sausage
01.1.2.5,Marinated pork loin
01.1.2.5,Marinated beef cubes
01.1.2.5,Canned beef stew
01.1.2.5,Canned chicken soup
01.1.2.5,Ground beef and pork blend
01.1.2.5,Ground chicken and turkey mix
01.1.2.5,Chicken liver pate
01.1.2.5,Duck liver pate
01.1.2.5,Breaded pork cutlet
01.1.2.5,Breaded chicken breast
01.1.2.5,Blood sausage
01.1.3.1,"Fish, live, fresh, chilled or frozen"
01.1.3.1,Live cod
01.1.3.1,Fresh tuna
01.1.3.1,Chilled salmon
01.1.3.1,Frozen haddock fillets
01.1.3.1,Frozen swordfish meat
01.1.3.2,"Fish, dried, salted, in brine or smoked"
01.1.3.2,Smoked cod fillets
01.1.3.2,Salted herring
01.1.3.2,Dried haddock
01.1.3.2,Smoked salmon
01.1.3.2,Salted pollock
