code,title
01.1.1.1,Cereals
01.1.1.1,Wheat Berries
01.1.1.1,Brown Rice
01.1.1.1,Sorghum Grains
01.1.1.1,Pearl Barley
01.1.1.1,Flaky Rolled Oats
01.1.1.1,Traditional Triticale
01.1.1.1,Buckwheat Groats
01.1.1.1,Canary Seed
01.1.1.1,Quihuicha Cereal
01.1.1.1,Canagua Cereal
01.1.1.2,Flour of cereals
01.1.1.2,Wheat Flour
01.1.1.2,Rice Flour (including Parboiled)
01.1.1.2,Sorghum Flour
01.1.1.2,Barley Flour
01.1.1.2,Millet Flour
01.1.1.2,Corn Flour (Maize)
01.1.1.2,Quinoa Flour
01.1.1.2,Teff Flour
01.1.1.2,Bulgur Flour
01.1.1.2,Rye Flour
01.1.1.2,Oat Flour
01.1.1.2,Triticale Flour
01.1.1.2,Buckwheat Flour
01.1.1.2,Canary Seed Flour
01.1.1.2,Quihuicha (Inca Wheat) Flour
01.1.1.2,Canagua (Coaihua) Flour
01.1.1.2,Adlay (Job's Tears) Flour
01.1.1.2,Mixed Cereal Grain Flour
01.1.1.2,Instant Bakery Flour with Yeasts Added
01.1.1.2,Polenta Flour (Instant and Non-Instant)
01.1.1.3,Bread and bakery products
01.1.1.3,Whole Grain Artisan Loaf
01.1.1.3,Multigrain Baguette
01.1.1.3,Rye Sourdough Bread
01.1.1.3,Gluten-Free Bread Loaf
01.1.1.3,Spinach and Feta Focaccia
01.1.1.3,Sesame Seed Bagel
01.1.1.3,Challah Bread
01.1.1.3,Pumpkin Spice Syrup-soaked Pancake
01.1.1.3,Maple Glazed Donut
01.1.1.3,Churro Waffle Cone
01.1.1.3,Gingerbread House Kit
01.1.1.3,European Butter Cookies
01.1.1.3,Chocolate Chip Cookies
01.1.1.3,Macaron Assortment
01.1.1.3,Tiramisu Cake
01.1.1.3,Creme Brulee Tarts
01.1.1.3,Cinnamon Roll
01.1.1.3,Mont Blanc Mushroom-shaped Cake
01.1.1.3,Eclairs
01.1.1.3,Baklava Filo Pastry
01.1.1.3,Shortcake Strawberries Dessert
01.1.1.3,Snickerdoodle Cookie
01.1.1.3,Blueberry Muffin
01.1.1.3,Croissant with Almond Frangipane Filling
01.1.1.3,Lemon Drizzle Cake
01.1.1.3,Raisin Crumb Cake Slice
01.1.1.3,Hazelnut Chocolate Spread on Crispbread
01.1.1.4,Breakfast cereals
01.1.1.4,Frosted Flakes
01.1.1.4,Grape-Nuts
01.1.1.4,Cheerios
01.1.1.4,Honey-Nut Cheerios
01.1.1.4,Special K
01.1.1.4,Muesli with Apricots
01.1.1.4,All-Bran
01.1.1.4,Shredded Wheat
01.1.1.4,Kashi GoLean
01.1.1.4,Granola with Almonds
