code,title
01.1.1.1,Cereals
01.1.1.1,wheat
01.1.1.1,rice
01.1.1.1,sorghum
01.1.1.1,barley
01.1.1.1,millet
01.1.1.1,maize (corn)
01.1.1.1,quinoa
01.1.1.1,teff
01.1.1.1,bulgur
01.1.1.1,rye
01.1.1.1,oats
01.1.1.1,triticale
01.1.1.1,buckwheat
01.1.1.1,canary seed
01.1.1.1,"quihuicha, or Inca wheat"
01.1.1.1,"canagua, or coaihua"
01.1.1.1,adlay or Job's tears
01.1.1.1,mixed cereal grains
01.1.1.2,Flour of cereals
01.1.1.2,Flour of cereals (subclass 01.1.1.1)
01.1.1.2,Instant flour for bakery products with yeasts added
01.1.1.2,"Polenta flour, pre-steamed or not"
01.1.1.2,Durum wheat flour
01.1.1.2,Spelt flour
01.1.1.2,Rye flour
01.1.1.2,Buckwheat flour
01.1.1.2,Oat flour
01.1.1.2,Corn flour
01.1.1.2,Barley flour
01.1.1.2,Millet flour
01.1.1.2,Teff flour
01.1.1.2,Sorghum flour
01.1.1.2,Amaranth flour
01.1.1.3,Bread and bakery products
01.1.1.3,Bread
01.1.1.3,Bread rolls
01.1.1.3,Crispbreads
01.1.1.3,Rusks
01.1.1.3,Toasted bread
01.1.1.3,Crackers
01.1.1.3,Tortillas
01.1.1.3,Injera
01.1.1.3,Pizza bases (without topping)
01.1.1.3,Gingerbread
01.1.1.3,Sweet biscuits (cookies)
01.1.1.3,Waffles
01.1.1.3,Wafers
01.1.1.3,Ice cream cones
01.1.1.3,Crumpets
01.1.1.3,Muffins
01.1.1.3,Croissants
01.1.1.3,Sweet tarts
01.1.1.3,Sweet pies
01.1.1.3,Pastry goods
01.1.1.3,Cakes
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products"
01.1.1.5,Spaghetti
01.1.1.5,Fusilli
01.1.1.5,Lasagna
01.1.1.5,Ravioli
01.1.1.5,Tortellini
01.1.1.5,Couscous
01.1.1.5,Farfalle
01.1.1.5,Penne
01.1.1.5,Macaroni
01.1.1.5,Gnocchi
01.1.1.9,Other milled cereal and grain products
01.1.1.9,mixes for bakery products
01.1.1.9,popcorn
01.1.1.9,granola bars
01.1.1.9,malt extract
01.1.1.9,cereal crisps
01.1.1.9,seitan
01.1.1.9,other cereal-based meat substitutes
01.1.2.1,Live land animals
01.1.2.1,cattle
01.1.2.1,buffaloes
01.1.2.1,pigs
01.1.2.1,"goats, lambs and sheep"
01.1.2.1,"poultry (chickens, ducks, geese, turkeys and guinea fowl)"
01.1.2.1,hares and rabbits
01.1.2.1,"horses, donkeys and other equines"
01.1.2.1,"camels, dromedaries, alpaca, llamas, guanacos, vicunas and other camelids"
01.1.2.1,"ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds"
01.1.2.1,snakes and other reptiles
01.1.2.1,"spiders, scorpions, insects and worms"
01.1.2.1,terrestrial snails
01.1.2.1,frogs
01.1.2.2,"Meat, fresh, chilled or frozen"
01.1.2.2,fresh beef
01.1.2.2,chilled pork
01.1.2.2,frozen lamb
01.1.2.2,chilled chicken
01.1.2.2,frozen turkey
01.1.2.2,fresh goat meat
01.1.2.2,chilled rabbit meat
01.1.2.2,frozen horse meat
01.1.2.2,fresh camel meat
01.1.2.2,chilled antelope meat
01.1.2.2,frozen deer meat
01.1.2.2,fresh boar meat
01.1.2.2,chilled kangaroo meat
01.1.2.2,frozen ostrich meat
01.1.2.2,fresh emu meat
01.1.2.2,chilled rhea meat
01.1.2.2,frozen pheasant meat
01.1.2.2,fresh grouse meat
01.1.2.2,chilled pigeon meat
01.1.2.2,frozen quail meat
01.1.2.2,fresh snake meat
01.1.2.2,chilled alligator meat
01.1.2.2,frozen reptile meat
01.1.2.2,spider meat
01.1.2.2,scorpion meat
01.1.2.2,insect meat
01.1.2.2,worm meat
01.1.2.2,terrestrial snail meat
01.1.2.2,frog meat
01.1.2.2,minced meat of the animals listed directly above
01.1.2.2,fresh seal meat
01.1.2.2,chilled walrus meat
01.1.2.2,frozen whale meat
01.1.2.2,marine mammal meat
01.1.2.3,"Meat, dried, salted, in brine or smoked"
01.1.2.3,Beef jerky
01.1.2.3,Salted pork
01.1.2.3,Smoked venison
01.1.2.3,Dried turkey
01.1.2.3,Brined goose
01.1.2.3,Bacon
01.1.2.3,Ham
01.1.2.3,Salami
01.1.3.2,"Fish, dried, salted, in brine or smoked"
01.1.3.2,dried cod
01.1.3.2,salted pollock
01.1.3.2,brined herring
01.1.3.2,smoked mackerel
01.1.3.2,dried fish fillets
01.1.3.2,salted fish meat
01.1.3.2,brined anchovies
01.1.3.2,smoked salmon
01.1.3.2,dried tuna
01.1.3.2,salted sardines
01.1.3.6,Other seafood preparations
01.1.3.6,Crab cakes
01.1.3.6,Shrimp scampi
01.1.3.6,Fish and chips
01.1.3.6,Grilled octopus
01.1.3.6,Ceviche
01.1.3.6,Oysters Rockefeller
01.1.3.6,Lobster bisque
01.1.3.6,Clam chowder
01.1.3.6,Squid calamari
01.1.3.6,Smoked salmon
01.1.4.2,Skimmed milk
01.1.4.2,Skimmed milk of cattle
01.1.4.2,Semi-skimmed milk of buffaloes
01.1.4.2,Skimmed milk of sheep
01.1.4.2,Semi-skimmed milk of goats
01.1.4.2,Skimmed milk of camels
01.1.4.3,Other milk and cream
01.1.4.3,Powdered milk
01.1.4.3,Whole milk
01.1.4.3,Skimmed milk
01.1.4.3,Evaporated milk
01.1.4.3,Condensed milk
01.1.4.3,Fresh cream
01.1.4.3,Clotted cream
01.1.4.3,Thickened cream
01.1.4.3,Whipped cream
01.1.4.3,Baked milk
01.1.4.6,Yoghurt and similar products
01.1.4.6,Yoghurt
01.1.4.6,Buttermilk
01.1.4.6,Curdled dairy products
01.1.4.6,Kefir
01.1.4.6,Coconut yoghurt
01.1.4.6,Soy yoghurt
01.1.4.9,Other dairy products
01.1.4.9,Whey protein
01.1.4.9,Casein protein
01.1.4.9,Sweetened cream
01.1.4.9,Cream powder
01.1.4.9,Milk protein concentrates
01.1.4.9,Whey-derived products
01.1.6.7,"Fruits, dried and dehydrated"
01.1.6.7,raisins
01.1.6.7,prunes
01.1.6.7,dried apricots
01.1.6.7,dried coconuts
01.1.6.7,other dried fruits
01.1.6.9,"Fruits and nuts, ground, and in other preparations"
01.1.6.9,fruit flour
01.1.6.9,nut flour
01.1.6.9,roasted nuts
01.1.6.9,salted nuts
01.1.6.9,prepared seeds
01.1.6.9,canned fruit
01.1.6.9,homogenized fruit preparations
01.1.6.9,fruit pickles
01.1.7.1,"Leafy or stem vegetables, fresh or chilled"
01.1.7.1,asparagus
01.1.7.1,cabbages
01.1.7.1,cauliflower
01.1.7.1,broccoli
01.1.7.1,lettuce
01.1.7.1,chicory
01.1.7.1,spinach
01.1.7.1,artichokes
01.1.7.2,"Fruit-bearing vegetables, fresh or chilled"
01.1.7.2,chilies
01.1.7.2,peppers
01.1.7.2,cucumbers
01.1.7.2,gherkins
01.1.7.2,eggplants (aubergines)
01.1.7.2,tomatoes
01.1.7.2,pumpkins
01.1.7.2,squash
01.1.7.2,gourds
01.1.7.2,"other fruit-bearing vegetables, fresh or chilled"
01.1.7.4,"Other vegetables, fresh or chilled"
01.1.7.4,Carrots
01.1.7.4,Turnips
01.1.7.4,Garlic
01.1.7.4,Onions
01.1.7.4,Leeks
01.1.7.4,Other alliaceous vegetables
01.1.7.4,"Root, bulb and tuberous vegetables, fresh or chilled"
01.1.7.4,Mushrooms
01.1.7.4,Truffles
01.1.7.4,Seaweeds
01.1.7.4,Other aquatic plants
01.1.7.4,Olives
01.1.7.4,"Other vegetables, fresh or chilled, n.e.c."
01.1.7.4,"Mixtures of vegetables, fresh or chilled"
01.1.7.9,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations"
01.1.7.9,canned vegetables
01.1.7.9,preserved olives
01.1.7.9,vegetable flakes
01.1.7.9,vegetable purees
01.1.7.9,vegetable chips and crisps
01.1.7.9,"chipped potatoes, frozen"
01.1.7.9,vegetable concentrates
