code,title
01.1.1.1,cereals
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as wheat"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as rice, including parboiled rice"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as sorghum"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as barley"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as millet"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as maize (corn)"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as quinoa"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as teff"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as bulgur"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as rye"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as oats"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as triticale"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as buckwheat"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as canary seed"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as quihuicha, or inca wheat"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as canagua, or coaihua"
01.1.1.1,"dried cereal grains, whether broken or precooked (steamed), not further prepared such as adlay or job's tears"
01.1.1.2,flour of cereals
01.1.1.2,flour of cereals mentioned in subclass 01.1.1.1
01.1.1.2,flour of cereals mentioned in subclass 01.1.1.1 instant (precooked)
01.1.1.2,flour of cereals mentioned in subclass 01.1.1.1 instant (steamed)
01.1.1.2,flour of cereals mentioned in subclass 01.1.1.1 instant (with yeasts added)
01.1.1.2,flour of cereals listed under subclass 01.1.1.1
01.1.1.2,instant flour for bakery products with yeasts added
01.1.1.2,polenta flour instant (pre-steamed)
01.1.1.2,polenta flour
01.1.1.3,bread and bakery products
01.1.1.3,bread
01.1.1.3,bread rolls
01.1.1.3,crispbreads
01.1.1.3,rusks
01.1.1.3,toasted bread
01.1.1.3,crackers
01.1.1.3,tortillas
01.1.1.3,injera
01.1.1.3,pizza bases without topping precooked
01.1.1.3,pizza bases without topping not precooked
01.1.1.3,gingerbread
01.1.1.3,sweet biscuits
01.1.1.3,waffles
01.1.1.3,wafers
01.1.1.3,ice cream cones
01.1.1.3,crumpets
01.1.1.3,muffins
01.1.1.3,croissants
01.1.1.3,sweet tarts
01.1.1.3,sweet pies
01.1.1.3,pastry goods
01.1.1.3,cakes
01.1.1.4,breakfast cereals
01.1.1.4,cornflakes
01.1.1.4,oatmeal
01.1.1.4,oat flakes
01.1.1.4,muesli
01.1.1.4,granola
01.1.1.4,puffed cereals
01.1.1.4,puffed rice cakes
01.1.1.4,breakfast cereals with nuts
01.1.1.4,breakfast cereals with dried fruit
01.1.1.5,"macaroni, noodles, couscous and similar pasta products"
01.1.1.5,macaroni
01.1.1.5,noodles
01.1.1.5,couscous
01.1.1.5,uncooked pasta whether stuffed or not
01.1.1.5,uncooked dumplings
01.1.1.5,uncooked ravioli
01.1.1.9,mixes for the preparation of bakery products
01.1.1.9,doughs for the preparation of bakery products
01.1.1.9,popcorn
01.1.1.9,granola bars
01.1.1.9,malt
01.1.1.9,malt extract
01.1.1.9,cereal chips
01.1.1.9,cereal crisps
01.1.1.9,seitan
01.1.1.9,meat substitutes made from cereals
01.1.2.1,live land animals
01.1.2.1,"cattle (cows; calves; common ox, zebu or humped ox; watusi, gaur, gayal, banteng and yak)"
01.1.2.1,"buffaloes (indian or water buffaloes; arnis, or asiatic buffaloes; celebes anoas, or pygmy buffaloes; african buffaloes, such as the dwarf buffalo and the large caffrarian buffalo; american bisons, known simply as buffaloes; european bisons; and beefaloes (hybrid offspring of american bisons and domestic cattle)"
01.1.2.1,pigs
01.1.2.1,goats
01.1.2.1,lambs
01.1.2.1,sheep
01.1.2.1,poultry (chickens)
01.1.2.1,poultry (ducks)
01.1.2.1,poultry (geese)
01.1.2.1,poultry (turkeys)
01.1.2.1,poultry (guinea fowl)
01.1.2.1,hares
01.1.2.1,rabbits
01.1.2.1,horses
01.1.2.1,donkeys
01.1.2.1,camels
01.1.2.1,dromedaries
01.1.2.1,alpaca
01.1.2.1,llamas
01.1.2.1,guanacos
01.1.2.1,vicunas
01.1.2.1,ostriches
01.1.2.1,emus
01.1.2.1,rheas
01.1.2.1,pheasants
01.1.2.1,grouse
01.1.2.1,pigeons
01.1.2.1,quails
01.1.2.1,snakes
01.1.2.1,spiders
01.1.2.1,scorpions
01.1.2.1,insects
01.1.2.1,worms
01.1.2.1,terrestrial snails
01.1.2.1,frogs
01.1.2.2,"meat, fresh, chilled or frozen"
01.1.2.2,meat of cattle (cows)
01.1.2.2,meat of cattle (calves)
01.1.2.2,meat of cattle (common ox)
01.1.2.2,meat of cattle (zebu or humped ox)
01.1.2.2,meat of cattle (watusi)
01.1.2.2,meat of cattle (gaur)
01.1.2.2,meat of cattle (gayal)
01.1.2.2,meat of cattle (banteng)
01.1.2.2,meat of cattle (yak)
01.1.2.2,meat of buffaloes (indian or water buffaloes)
01.1.2.2,"meat of buffaloes (arnis, or wild water buffaloes)"
01.1.2.2,meat of buffaloes (asiatic buffalo or arni)
01.1.2.2,"meat of buffaloes (sulawesi anoas, or pygmy buffaloes)"
01.1.2.2,"meat of buffaloes (african buffaloes, such as the dwarf buffalo)"
01.1.2.2,meat of buffaloes (the large caffrarian buffalo)
01.1.2.2,"meat of buffaloes (the american bisons, known simply as buffaloes)"
01.1.2.2,meat of buffaloes (european bisons)
01.1.2.2,meat of buffaloes (beefaloes (hybrid offspring of american bisons and domestic cattle))
01.1.2.2,meat of pigs
01.1.2.2,meat of goats
01.1.2.2,meat of lambs
01.1.2.2,meat of sheep
01.1.2.2,meat of poultry (chickens)
01.1.2.2,meat of poultry (ducks)
01.1.2.2,meat of poultry (geese)
01.1.2.2,meat of poultry (turkeys)
01.1.2.2,meat of poultry (guinea fowl)
01.1.2.2,meat of hares
01.1.2.2,meat of rabbits
01.1.2.2,meat of horses
01.1.2.2,meat of donkeys
01.1.2.2,meat of camels
01.1.2.2,meat of dromedaries
01.1.2.2,meat of alpaca
01.1.2.2,meat of llamas
01.1.2.2,meat of guanacos
01.1.2.2,meat of vicunas
01.1.2.2,meat of antelopes
01.1.2.2,meat of deer
01.1.2.2,meat of boars
01.1.2.2,meat of kangaroos
01.1.2.2,meat of ostriches
01.1.2.2,meat of emus
01.1.2.2,meat of rheas
01.1.2.2,meat of pheasants
01.1.2.2,meat of grouse
01.1.2.2,meat of pigeons
01.1.2.2,meat of quails
01.1.2.2,meat of snakes
01.1.2.2,meat of alligators
01.1.2.2,spiders (not-live)
01.1.2.2,scorpions (not-live)
01.1.2.2,insects (not-live)
01.1.2.2,worms (not-live)
01.1.2.2,terrestrial snails
01.1.2.2,frogs
01.1.2.2,minced meat of the animals listed directly above
01.1.2.2,meat of seals
01.1.2.2,meat of walruses
01.1.2.2,meat of whales
01.1.2.3,"meat, dried, salted, in brine or smoked"
01.1.2.3,"meat of all animals, both domestic and wild, dried"
01.1.2.3,"meat of all animals, both domestic and wild, salted"
01.1.2.3,"meat of all animals, both domestic and wild, in brine"
01.1.2.3,"meat of all animals, both domestic and wild, smoked"
01.1.2.3,bacon
01.1.2.3,ham
01.1.2.3,salami
01.1.2.4,fresh offal of slaughtered animals
01.1.2.4,chilled offal of slaughtered animals
01.1.2.4,frozen offal of slaughtered animals
01.1.2.4,dried offal of slaughtered animals
01.1.2.4,salted offal of slaughtered animals
01.1.2.4,offal of slaughtered animals in brine
01.1.2.4,smoked offal of slaughtered animals
01.1.2.4,fresh blood of slaughtered animals
01.1.2.4,chilled blood of slaughtered animals
01.1.2.4,frozen blood of slaughtered animals
01.1.2.4,dried blood of slaughtered animals
01.1.2.4,salted blood of slaughtered animals
01.1.2.4,blood of slaughtered animals in brine
01.1.2.4,smoked blood of slaughtered animals
01.1.2.4,fresh bones of slaughtered animals
01.1.2.4,chilled bones of slaughtered animals
01.1.2.4,frozen bones of slaughtered animals
01.1.2.4,dried bones of slaughtered animals
01.1.2.4,salted bones of slaughtered animals
01.1.2.4,bones of slaughtered animals in brine
01.1.2.4,smoked bones of slaughtered animals
01.1.2.4,fresh pork heads
01.1.2.4,chilled pork heads
01.1.2.4,frozen pork heads
01.1.2.4,dried pork heads
01.1.2.4,salted pork heads
01.1.2.4,pork heads in brine
01.1.2.4,smoked pork heads
01.1.2.4,fresh pork tails
01.1.2.4,chilled pork tails
01.1.2.4,frozen pork tails
01.1.2.4,dried pork tails
01.1.2.4,salted pork tails
