CODE,NAME_EN,PARENT_CODE
01.1.1.1,rice,01.1.1
01.1.1.1,rice in all forms,01.1.1
01.1.1.1,rice prepared with meat,01.1.1
01.1.1.1,rice prepared with fish,01.1.1
01.1.1.1,rice prepared with seafood,01.1.1
01.1.1.1,"rice prepared with vegetables, where rice is the main component",01.1.1
01.1.1.2,maize grain,01.1.1
01.1.1.2,maize flour,01.1.1
01.1.1.2,maize meal,01.1.1
01.1.1.2,wheat grain,01.1.1
01.1.1.2,wheat flour,01.1.1
01.1.1.2,wheat meal,01.1.1
01.1.1.2,barley grain,01.1.1
01.1.1.2,barley flour,01.1.1
01.1.1.2,barley meal,01.1.1
01.1.1.2,oats grain,01.1.1
01.1.1.2,oats flour,01.1.1
01.1.1.2,oats meal,01.1.1
01.1.1.2,rye grain,01.1.1
01.1.1.2,rye flour,01.1.1
01.1.1.2,rye meal,01.1.1
01.1.1.2,rice flour,01.1.1
01.1.1.3,bread,01.1.1
01.1.1.3,bread rolls,01.1.1
01.1.1.4,crisp bread,01.1.1
01.1.1.4,rusks,01.1.1
01.1.1.4,toasted bread,01.1.1
01.1.1.4,biscuits,01.1.1
01.1.1.4,gingerbread,01.1.1
01.1.1.4,wafers,01.1.1
01.1.1.4,waffles,01.1.1
01.1.1.4,crumpets,01.1.1
01.1.1.4,muffins,01.1.1
01.1.1.4,croissants,01.1.1
01.1.1.4,cakes,01.1.1
01.1.1.4,tarts,01.1.1
01.1.1.4,sweet pies,01.1.1
01.1.1.5,pizza and quiche,01.1.1
01.1.1.5,pizza with meat,01.1.1
01.1.1.5,pizza with fish,01.1.1
01.1.1.5,pizza with seafood,01.1.1
01.1.1.5,pizza with cheese,01.1.1
01.1.1.5,pizza with vegetables,01.1.1
01.1.1.5,pizza with fruit,01.1.1
01.1.1.5,quiche with meat,01.1.1
01.1.1.5,quiche with fish,01.1.1
01.1.1.5,quiche with seafood,01.1.1
01.1.1.5,quiche with cheese,01.1.1
01.1.1.5,quiche with vegetables,01.1.1
01.1.1.5,quiche with fruit,01.1.1
01.1.1.5,farinaceous-based products with meat,01.1.1
01.1.1.5,farinaceous-based products with fish,01.1.1
01.1.1.5,farinaceous-based products with seafood,01.1.1
01.1.1.5,farinaceous-based products with cheese,01.1.1
01.1.1.5,farinaceous-based products with vegetables,01.1.1
01.1.1.5,farinaceous-based products with fruit,01.1.1
01.1.1.6,pasta products and couscous,01.1.1
01.1.1.6,ravioli,01.1.1
01.1.1.6,cannelloni,01.1.1
01.1.1.6,lasagne,01.1.1
01.1.1.6,pasta products in all forms,01.1.1
01.1.1.6,couscous,01.1.1
01.1.1.6,prepared dishes made basically of pasta,01.1.1
01.1.1.6,prepared dishes made basically of couscous,01.1.1
01.1.1.7,breakfast cereals,01.1.1
01.1.1.7,cornflakes,01.1.1
01.1.1.7,oatflakes,01.1.1
01.1.1.7,muesli,01.1.1
01.1.1.8,mixes for the preparation of bakery products,01.1.1
01.1.1.8,doughs for the preparation of bakery products,01.1.1
01.1.1.8,malt,01.1.1
01.1.1.8,malt flour,01.1.1
01.1.1.8,malt extract,01.1.1
01.1.1.8,potato starch,01.1.1
01.1.1.8,tapioca,01.1.1
01.1.1.8,sago,01.1.1
01.1.2.1,beef and veal,01.1.2
01.1.2.1,fresh beef,01.1.2
01.1.2.1,chilled veal,01.1.2
01.1.2.1,frozen meat of bovine animals,01.1.2
01.1.2.1,live cow purchased for consumption as food,01.1.2
01.1.2.1,live veal purchased for consumption as food,01.1.2
01.1.2.1,minced beef,01.1.2
01.1.2.1,minced veal,01.1.2
01.1.2.2,pork,01.1.2
01.1.2.2,fresh pork meat,01.1.2
01.1.2.2,chilled pork meat,01.1.2
01.1.2.2,frozen pork meat,01.1.2
01.1.2.2,live swine purchased for food,01.1.2
01.1.2.2,minced pork meat,01.1.2
01.1.2.3,lamb and goat,01.1.2
01.1.2.3,fresh lamb meat,01.1.2
01.1.2.3,chilled goat meat,01.1.2
01.1.2.3,frozen meat of sheep,01.1.2
01.1.2.3,lamb purchased live for consumption as food,01.1.2
01.1.2.3,goat purchased live for consumption as food,01.1.2
01.1.2.3,minced meat made of lamb,01.1.2
01.1.2.3,minced meat made of goat,01.1.2
01.1.2.4,poultry,01.1.2
01.1.2.4,fresh chicken meat,01.1.2
01.1.2.4,chilled duck meat,01.1.2
01.1.2.4,frozen goose meat,01.1.2
01.1.2.4,frozen turkey meat,01.1.2
01.1.2.4,live chicken for consumption,01.1.2
01.1.2.4,live duck for consumption,01.1.2
01.1.2.4,live goose for consumption,01.1.2
01.1.2.4,live turkey for consumption,01.1.2
01.1.2.4,minced chicken meat,01.1.2
01.1.2.4,minced duck meat,01.1.2
01.1.2.4,minced goose meat,01.1.2
01.1.2.4,minced turkey meat,01.1.2
01.1.2.5,fresh horse meat,01.1.2
01.1.2.5,chilled mule meat,01.1.2
01.1.2.5,frozen donkey meat,01.1.2
01.1.2.5,fresh camel meat,01.1.2
01.1.2.5,chilled hare meat,01.1.2
01.1.2.5,frozen rabbit meat,01.1.2
01.1.2.5,"fresh game meat (such as antelope, deer, boar)",01.1.2
01.1.2.5,chilled pheasant meat,01.1.2
01.1.2.5,frozen grouse meat,01.1.2
01.1.2.5,fresh pigeon meat,01.1.2
01.1.2.5,chilled quail meat,01.1.2
01.1.2.5,"frozen meat of marine mammals (such as seals, walruses, whales)",01.1.2
01.1.2.5,"fresh exotic animal meat (such as kangaroo, ostrich, alligator)",01.1.2
01.1.2.5,"live animals purchased for consumption as food (such as horse, mule, donkey, camel, hare, rabbit, game)",01.1.2
01.1.2.6,edible offal,01.1.2
01.1.2.6,fresh edible offal,01.1.2
01.1.2.6,chilled edible offal,01.1.2
01.1.2.6,smoked edible offal,01.1.2
01.1.2.6,frozen edible offal,01.1.2
01.1.2.7,"dried, salted or smoked meat",01.1.2
01.1.2.7,dried meat,01.1.2
01.1.2.7,salted meat,01.1.2
01.1.2.7,smoked meat,01.1.2
01.1.2.7,sausages,01.1.2
01.1.2.7,salami,01.1.2
01.1.2.7,bacon,01.1.2
01.1.2.7,ham,01.1.2
01.1.2.8,canned meat,01.1.2
01.1.2.8,meat extracts,01.1.2
01.1.2.8,meat juices,01.1.2
01.1.2.8,meat pies,01.1.2
01.1.2.8,dumplings,01.1.2
01.1.2.8,filled pancakes with meat,01.1.2
01.1.2.8,minced meat,01.1.2
01.1.2.8,raw mixed meat from more than one kind of minced meat,01.1.2
01.1.2.8,prepared mixed meat from more than one kind of minced meat,01.1.2
01.1.2.8,pâté,01.1.2
01.1.2.8,liver pâté,01.1.2
01.1.3.1,fresh or chilled fish,01.1.3
01.1.3.1,fresh fish for human consumption,01.1.3
01.1.3.1,chilled fish for human consumption,01.1.3
01.1.3.1,live fish purchased for food,01.1.3
01.1.3.2,frozen fish,01.1.3
01.1.3.3,fresh or chilled seafood,01.1.3
01.1.3.3,fresh crustaceans,01.1.3
01.1.3.3,fresh molluscs,01.1.3
01.1.3.3,fresh sea snails,01.1.3
01.1.3.3,chilled crustaceans,01.1.3
01.1.3.3,chilled molluscs,01.1.3
01.1.3.3,chilled sea snails,01.1.3
01.1.3.3,live land crabs for consumption as food,01.1.3
01.1.3.3,live land snails for consumption as food,01.1.3
01.1.3.3,live frogs for consumption as food,01.1.3
01.1.3.4,frozen seafood,01.1.3
01.1.3.4,frozen fish,01.1.3
01.1.3.4,frozen shellfish,01.1.3
01.1.3.4,frozen crustaceans,01.1.3
01.1.3.4,frozen mollusks,01.1.3
01.1.3.4,frozen squid,01.1.3
01.1.3.4,frozen shrimp,01.1.3
01.1.3.4,frozen lobster,01.1.3
01.1.3.4,frozen crab,01.1.3
01.1.3.4,frozen scallops,01.1.3
01.1.3.4,frozen mussels,01.1.3
01.1.3.4,frozen clams,01.1.3
01.1.3.4,frozen oysters,01.1.3
01.1.3.4,frozen frozen salmon,01.1.3
01.1.3.4,frozen tilapia,01.1.3
01.1.3.4,frozen cod,01.1.3
01.1.3.4,frozen tuna,01.1.3
01.1.3.4,frozen trout,01.1.3
01.1.3.5,"dried, smoked or salted fish and seafood",01.1.3
01.1.3.5,dried fish,01.1.3
01.1.3.5,smoked fish,01.1.3
01.1.3.5,salted fish,01.1.3
01.1.3.5,dried seafood,01.1.3
01.1.3.5,smoked seafood,01.1.3
01.1.3.5,salted seafood,01.1.3
01.1.3.6,canned fish,01.1.3
01.1.3.6,caviar,01.1.3
01.1.3.6,hard roes,01.1.3
01.1.3.6,fish pies,01.1.3
01.1.3.6,battered fish,01.1.3
01.1.3.6,dumplings with fish filling,01.1.3
01.1.3.6,fish-filled pancakes,01.1.3
01.1.3.6,processed seafood,01.1.3
01.1.3.6,seafood-based preparations,01.1.3
01.1.3.6,preserved fish products,01.1.3
01.1.4.1,fresh whole milk,01.1.4
01.1.4.1,"fresh, whole milk",01.1.4
01.1.4.1,pasteurized milk,01.1.4
01.1.4.1,sterilized milk,01.1.4
01.1.4.1,ultra-pasteurized milk,01.1.4
01.1.4.1,uht milk,01.1.4
01.1.4.2,fresh low fat milk,01.1.4
01.1.4.2,pasteurized low fat milk,01.1.4
01.1.4.2,sterilized low fat milk,01.1.4
01.1.4.2,ultra-pasteurized low fat milk,01.1.4
01.1.4.2,uht low fat milk,01.1.4
01.1.4.2,semi-skimmed milk,01.1.4
01.1.4.2,skimmed milk,01.1.4
01.1.4.3,preserved milk,01.1.4
01.1.4.3,condensed milk,01.1.4
01.1.4.3,evaporated milk,01.1.4
01.1.4.3,powdered milk,01.1.4
01.1.4.4,yoghurt,01.1.4
01.1.4.4,yoghurt with sugar,01.1.4
01.1.4.4,yoghurt with cocoa,01.1.4
01.1.4.4,yoghurt with fruit,01.1.4
01.1.4.4,yoghurt with flavourings,01.1.4
01.1.4.4,plain yoghurt,01.1.4
01.1.4.5,cheese and curd,01.1.4
01.1.4.5,hard cheese,01.1.4
01.1.4.5,semi-hard cheese,01.1.4
01.1.4.5,blue cheese,01.1.4
01.1.4.5,cottage cheese,01.1.4
