CODE,NAME_EN,PARENT_CODE
01.1.1.1,Rice,01.1.1
01.1.1.1,White rice,01.1.1
01.1.1.1,Brown rice,01.1.1
01.1.1.1,Jasmine rice,01.1.1
01.1.1.1,Basmati rice,01.1.1
01.1.1.1,Rice prepared with meat,01.1.1
01.1.1.1,Rice prepared with fish,01.1.1
01.1.1.1,Rice prepared with seafood,01.1.1
01.1.1.1,Rice prepared with vegetables,01.1.1
01.1.1.3,Bread,01.1.1
01.1.1.3,"Bread refers to a baked food made from flour, water, yeast, salt, and other ingredients.",01.1.1
01.1.1.3,"Bread rolls are small, rounded portions of bread, often served as a side dish.",01.1.1
01.1.1.7,Breakfast cereals,01.1.1
01.1.1.7,Cornflakes breakfast cereal,01.1.1
01.1.1.7,Oatflakes breakfast cereal,01.1.1
01.1.1.7,Muesli breakfast cereal,01.1.1
01.1.2.1,Beef and veal,01.1.2
01.1.2.1,Fresh meat of bovine animals,01.1.2
01.1.2.1,Chilled meat of bovine animals,01.1.2
01.1.2.1,Frozen meat of bovine animals,01.1.2
01.1.2.1,Live cows purchased for consumption as food,01.1.2
01.1.2.1,Live veal calves purchased for consumption as food,01.1.2
01.1.2.1,Minced beef,01.1.2
01.1.2.1,Minced veal,01.1.2
01.1.2.2,Pork,01.1.2
01.1.2.2,Fresh meat of swine,01.1.2
01.1.2.2,Chilled meat of swine,01.1.2
01.1.2.2,Frozen meat of swine,01.1.2
01.1.2.2,Pork purchased live for consumption as food,01.1.2
01.1.2.2,Minced meat made of pork,01.1.2
01.1.2.3,Lamb and goat,01.1.2
01.1.2.3,fresh meat of sheep,01.1.2
01.1.2.3,chilled meat of sheep,01.1.2
01.1.2.3,frozen meat of sheep,01.1.2
01.1.2.3,fresh meat of goat,01.1.2
01.1.2.3,chilled meat of goat,01.1.2
01.1.2.3,frozen meat of goat,01.1.2
01.1.2.3,lamb purchased live for consumption as food,01.1.2
01.1.2.3,goat purchased live for consumption as food,01.1.2
01.1.2.3,minced meat made of lamb,01.1.2
01.1.2.3,minced meat made of goat,01.1.2
01.1.2.5,Other meats,01.1.2
01.1.2.5,"Fresh, chilled, or frozen horse meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen mule meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen donkey meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen camel meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen hare meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen rabbit meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen antelope meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen deer meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen boar meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen pheasant meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen grouse meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen pigeon meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen quail meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen seal meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen walrus meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen whale meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen kangaroo meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen ostrich meat",01.1.2
01.1.2.5,"Fresh, chilled, or frozen alligator meat",01.1.2
01.1.2.5,Live animals purchased for consumption as food,01.1.2
01.1.2.6,Edible offal,01.1.2
01.1.2.6,fresh edible offal,01.1.2
01.1.2.6,chilled edible offal,01.1.2
01.1.2.6,smoked edible offal,01.1.2
01.1.2.6,frozen edible offal,01.1.2
01.1.3.5,"Dried, smoked or salted fish and seafood",01.1.3
01.1.3.5,Dried fish and seafood,01.1.3
01.1.3.5,Smoked fish and seafood,01.1.3
01.1.3.5,Salted fish and seafood,01.1.3
01.1.4.1,Fresh whole milk,01.1.4
01.1.4.1,Fresh whole milk,01.1.4
01.1.4.1,Pasteurized whole milk,01.1.4
01.1.4.1,Sterilized whole milk,01.1.4
01.1.4.1,Ultra-pasteurized whole milk,01.1.4
01.1.4.1,UHT (Ultra-High Temperature) whole milk,01.1.4
01.1.4.2,Fresh low fat milk,01.1.4
01.1.4.2,"fresh, low fat milk",01.1.4
01.1.4.2,pasteurized or sterilized milk,01.1.4
01.1.4.2,ultra-pasteurized (UHT) milk,01.1.4
01.1.4.2,semi-skimmed milk,01.1.4
01.1.4.2,skimmed milk,01.1.4
01.1.4.3,Preserved milk,01.1.4
01.1.4.3,"Condensed milk: Sweetened condensed milk, used in desserts and beverages.",01.1.4
01.1.4.3,"Evaporated milk: Unsweetened evaporated milk, often used in cooking and baking.",01.1.4
01.1.4.3,"Powdered milk: Dried milk powder, used as a shelf-stable alternative to liquid milk.",01.1.4
01.1.4.7,Eggs,01.1.4
01.1.4.7,eggs,01.1.4
01.1.4.7,egg products made wholly from eggs,01.1.4
01.1.5.1,Butter,01.1.5
01.1.5.1,"Butter - Dairy product obtained from milk, often salted or unsalted.",01.1.5
01.1.5.1,"Butter oil - Clarified butter fat, often used in cooking or as an ingredient.",01.1.5
01.1.5.1,Ghee - Clarified butter commonly used in South Asian cuisine.,01.1.5
01.1.6.1,Fresh or chilled fruit,01.1.6
01.1.6.1,Fresh or chilled melons,01.1.6
01.1.6.1,Fresh or chilled water melons,01.1.6
01.1.6.1,Fresh or chilled berries,01.1.6
01.1.6.4,Preserved fruit and fruit-based products,01.1.6
01.1.6.4,Preserved fruit and fruit-based products,01.1.6
01.1.6.4,Dietary preparations and culinary ingredients based exclusively on fruit,01.1.6
01.1.6.4,Canned or tinned fruit,01.1.6
01.1.7.1,Fresh or chilled vegetables other than potatoes and other tubers,01.1.7
01.1.7.1,"Fresh or chilled vegetables cultivated for their leaves or stalks (asparagus, broccoli, cauliflower, endives, fennel, spinach, etc.)",01.1.7
