CODE,NAME_EN,PARENT_CODE
01.1.1.1,Rice,01.1.1
01.1.1.1,Rice in all forms,01.1.1
01.1.1.1,Rice prepared with meat,01.1.1
01.1.1.1,Rice prepared with fish,01.1.1
01.1.1.1,Rice prepared with seafood,01.1.1
01.1.1.1,Rice prepared with vegetables (if rice represents the most important part),01.1.1
01.1.1.2,Flours and other cereals,01.1.1
01.1.1.2,maize grain,01.1.1
01.1.1.2,maize flour,01.1.1
01.1.1.2,maize meal,01.1.1
01.1.1.2,wheat grain,01.1.1
01.1.1.2,wheat flour,01.1.1
01.1.1.2,wheat meal,01.1.1
01.1.1.2,barley grain,01.1.1
01.1.1.2,barley flour,01.1.1
01.1.1.2,barley meal,01.1.1
01.1.1.2,oats grain,01.1.1
01.1.1.2,oats flour,01.1.1
01.1.1.2,oats meal,01.1.1
01.1.1.2,rye grain,01.1.1
01.1.1.2,rye flour,01.1.1
01.1.1.2,rye meal,01.1.1
01.1.1.2,rice flour,01.1.1
01.1.1.3,Bread,01.1.1
01.1.1.3,Bread,01.1.1
01.1.1.3,Bread rolls ,01.1.1
01.1.1.4,Other bakery products,01.1.1
01.1.1.4,Crisp bread,01.1.1
01.1.1.4,Rusks,01.1.1
01.1.1.4,Toasted bread,01.1.1
01.1.1.4,Biscuits,01.1.1
01.1.1.4,Gingerbread,01.1.1
01.1.1.4,Wafers,01.1.1
01.1.1.4,Waffles,01.1.1
01.1.1.4,Crumpets,01.1.1
01.1.1.4,Muffins,01.1.1
01.1.1.4,Croissants,01.1.1
01.1.1.4,Cakes,01.1.1
01.1.1.4,Tarts,01.1.1
01.1.1.4,Sweet pies,01.1.1
01.1.1.5,Pizza and quiche,01.1.1
01.1.1.5,Pizza with meat,01.1.1
01.1.1.5,Pizza with fish,01.1.1
01.1.1.5,Pizza with seafood,01.1.1
01.1.1.5,Pizza with cheese,01.1.1
01.1.1.5,Pizza with vegetables,01.1.1
01.1.1.5,Pizza with fruit,01.1.1
01.1.1.5,Quiche with meat,01.1.1
01.1.1.5,Quiche with fish,01.1.1
01.1.1.5,Quiche with seafood,01.1.1
01.1.1.5,Quiche with cheese,01.1.1
01.1.1.5,Quiche with vegetables,01.1.1
01.1.1.5,Quiche with fruit,01.1.1
01.1.1.6,Pasta products and couscous,01.1.1
01.1.1.6,Ravioli,01.1.1
01.1.1.6,Cannelloni,01.1.1
01.1.1.6,Lasagne,01.1.1
01.1.1.6,Spaghetti,01.1.1
01.1.1.6,Macaroni,01.1.1
01.1.1.6,Penne,01.1.1
01.1.1.6,Fusilli,01.1.1
01.1.1.6,Tagliatelle,01.1.1
01.1.1.6,Fettuccine,01.1.1
01.1.1.6,Linguine,01.1.1
01.1.1.6,Farfalle,01.1.1
01.1.1.6,Tortellini,01.1.1
01.1.1.6,Vermicelli,01.1.1
01.1.1.6,Angel hair,01.1.1
01.1.1.6,Orzo,01.1.1
01.1.1.6,Ditalini,01.1.1
01.1.1.6,Rotini,01.1.1
01.1.1.6,Rigatoni,01.1.1
01.1.1.6,Ziti,01.1.1
01.1.1.6,Conchiglie,01.1.1
01.1.1.6,Couscous,01.1.1
01.1.1.6,Prepared pasta dishes,01.1.1
01.1.1.6,Prepared couscous dishes,01.1.1
01.1.1.7,Breakfast cereals,01.1.1
01.1.1.7,cornflakes,01.1.1
01.1.1.7,oatflakes,01.1.1
01.1.1.7,muesli,01.1.1
01.1.1.8,Other cereal products,01.1.1
01.1.1.8,Mixes for the preparation of bakery products,01.1.1
01.1.1.8,Doughs for the preparation of bakery products,01.1.1
01.1.1.8,Malt,01.1.1
01.1.1.8,Malt flour,01.1.1
01.1.1.8,Malt extract,01.1.1
01.1.1.8,Potato starch,01.1.1
01.1.1.8,Tapioca,01.1.1
01.1.1.8,Sago,01.1.1
01.1.1.8,Starches,01.1.1
01.1.2.1,Beef and veal,01.1.2
01.1.2.1,fresh meat of bovine animals,01.1.2
01.1.2.1,chilled meat of bovine animals,01.1.2
01.1.2.1,frozen meat of bovine animals,01.1.2
01.1.2.1,cow purchased live for consumption as food,01.1.2
01.1.2.1,veal purchased live for consumption as food,01.1.2
01.1.2.1,minced meat made of beef,01.1.2
01.1.2.1,minced meat made of veal,01.1.2
01.1.2.2,Pork,01.1.2
01.1.2.2,fresh meat of swine,01.1.2
01.1.2.2,chilled meat of swine,01.1.2
01.1.2.2,frozen meat of swine,01.1.2
01.1.2.2,pork purchased live for consumption as food,01.1.2
01.1.2.2,minced meat made of pork,01.1.2
01.1.2.3,Lamb and goat,01.1.2
01.1.2.3,fresh meat of sheep,01.1.2
01.1.2.3,chilled meat of sheep,01.1.2
01.1.2.3,frozen meat of sheep,01.1.2
01.1.2.3,fresh meat of goat,01.1.2
01.1.2.3,chilled meat of goat,01.1.2
01.1.2.3,frozen meat of goat,01.1.2
01.1.2.3,lamb purchased live for consumption as food,01.1.2
01.1.2.3,goat purchased live for consumption as food,01.1.2
01.1.2.3,minced meat made of lamb,01.1.2
01.1.2.3,minced meat made of goat,01.1.2
01.1.2.4,Poultry,01.1.2
01.1.2.4,fresh meat of poultry (chicken),01.1.2
01.1.2.4,fresh meat of poultry (duck),01.1.2
01.1.2.4,fresh meat of poultry (goose),01.1.2
01.1.2.4,fresh meat of poultry (turkey),01.1.2
01.1.2.4,fresh meat of poultry (guinea fowl),01.1.2
01.1.2.4,chilled meat of poultry (chicken),01.1.2
01.1.2.4,chilled meat of poultry (duck),01.1.2
01.1.2.4,chilled meat of poultry (goose),01.1.2
01.1.2.4,chilled meat of poultry (turkey),01.1.2
01.1.2.4,chilled meat of poultry (guinea fowl),01.1.2
01.1.2.4,frozen meat of poultry (chicken),01.1.2
01.1.2.4,frozen meat of poultry (duck),01.1.2
01.1.2.4,frozen meat of poultry (goose),01.1.2
01.1.2.4,frozen meat of poultry (turkey),01.1.2
01.1.2.4,frozen meat of poultry (guinea fowl),01.1.2
01.1.2.4,poultry purchased live for consumption as food (chicken),01.1.2
01.1.2.4,poultry purchased live for consumption as food (duck),01.1.2
01.1.2.4,poultry purchased live for consumption as food (goose),01.1.2
01.1.2.4,poultry purchased live for consumption as food (turkey),01.1.2
01.1.2.4,poultry purchased live for consumption as food (guinea fowl),01.1.2
01.1.2.4,minced meat made of poultry (chicken),01.1.2
01.1.2.4,minced meat made of poultry (duck),01.1.2
01.1.2.4,minced meat made of poultry (goose),01.1.2
01.1.2.4,minced meat made of poultry (turkey),01.1.2
01.1.2.4,minced meat made of poultry (guinea fowl),01.1.2
01.1.2.5,Other meats,01.1.2
01.1.2.5,Fresh horse meat,01.1.2
01.1.2.5,Chilled horse meat,01.1.2
01.1.2.5,Frozen horse meat,01.1.2
01.1.2.5,Fresh mule meat,01.1.2
01.1.2.5,Chilled mule meat,01.1.2
01.1.2.5,Frozen mule meat,01.1.2
01.1.2.5,Fresh donkey meat,01.1.2
01.1.2.5,Chilled donkey meat,01.1.2
01.1.2.5,Frozen donkey meat,01.1.2
01.1.2.5,Fresh camel meat,01.1.2
01.1.2.5,Chilled camel meat,01.1.2
01.1.2.5,Frozen camel meat,01.1.2
01.1.2.5,Fresh hare meat,01.1.2
01.1.2.5,Chilled hare meat,01.1.2
01.1.2.5,Frozen hare meat,01.1.2
01.1.2.5,Fresh rabbit meat,01.1.2
01.1.2.5,Chilled rabbit meat,01.1.2
01.1.2.5,Frozen rabbit meat,01.1.2
01.1.2.5,Fresh antelope meat,01.1.2
01.1.2.5,Chilled antelope meat,01.1.2
01.1.2.5,Frozen antelope meat,01.1.2
01.1.2.5,Fresh deer meat,01.1.2
01.1.2.5,Chilled deer meat,01.1.2
01.1.2.5,Frozen deer meat,01.1.2
01.1.2.5,Fresh boar meat,01.1.2
01.1.2.5,Chilled boar meat,01.1.2
01.1.2.5,Frozen boar meat,01.1.2
01.1.2.5,Fresh pheasant meat,01.1.2
01.1.2.5,Chilled pheasant meat,01.1.2
01.1.2.5,Frozen pheasant meat,01.1.2
01.1.2.5,Fresh grouse meat,01.1.2
01.1.2.5,Chilled grouse meat,01.1.2
01.1.2.5,Frozen grouse meat,01.1.2
01.1.2.5,Fresh pigeon meat,01.1.2
01.1.2.5,Chilled pigeon meat,01.1.2
01.1.2.5,Frozen pigeon meat,01.1.2
01.1.2.5,Fresh quail meat,01.1.2
01.1.2.5,Chilled quail meat,01.1.2
01.1.2.5,Frozen quail meat,01.1.2
01.1.2.5,Fresh seal meat,01.1.2
01.1.2.5,Chilled seal meat,01.1.2
01.1.2.5,Frozen seal meat,01.1.2
01.1.2.5,Fresh walrus meat,01.1.2
01.1.2.5,Chilled walrus meat,01.1.2
01.1.2.5,Frozen walrus meat,01.1.2
01.1.2.5,Fresh whale meat,01.1.2
01.1.2.5,Chilled whale meat,01.1.2
01.1.2.5,Frozen whale meat,01.1.2
01.1.2.5,Fresh kangaroo meat,01.1.2
01.1.2.5,Chilled kangaroo meat,01.1.2
01.1.2.5,Frozen kangaroo meat,01.1.2
01.1.2.5,Fresh ostrich meat,01.1.2
01.1.2.5,Chilled ostrich meat,01.1.2
01.1.2.5,Frozen ostrich meat,01.1.2
01.1.2.5,Fresh alligator meat,01.1.2
01.1.2.5,Chilled alligator meat,01.1.2
01.1.2.5,Frozen alligator meat,01.1.2
01.1.2.5,Live animals purchased for consumption as food,01.1.2
01.1.2.6,Edible offal,01.1.2
01.1.2.6,Fresh edible offal,01.1.2
01.1.2.6,Chilled edible offal,01.1.2
01.1.2.6,Smoked edible offal,01.1.2
01.1.2.6,Frozen edible offal,01.1.2
01.1.2.7,"Dried, salted or smoked meat",01.1.2
01.1.2.7,Dried sausages,01.1.2
01.1.2.7,Salted sausages,01.1.2
01.1.2.7,Smoked sausages,01.1.2
01.1.2.7,Dried salami,01.1.2
01.1.2.7,Salted salami,01.1.2
01.1.2.7,Smoked salami,01.1.2
01.1.2.7,Dried bacon,01.1.2
01.1.2.7,Salted bacon,01.1.2
01.1.2.7,Smoked bacon,01.1.2
01.1.2.7,Dried ham,01.1.2
