Code,Description,ExplanatoryNote
04.4.4,Services divers liés au logement n.c.a.,"- Charges de copropriété (gardiennage, jardinage, nettoyage des escaliers, chauffage et éclairage, entretien des ascenseurs et des vide-ordures, etc.) dans les immeubles collectifs;
- Services relatifs à la sécurité des habitations;
- Déblaiement de la neige et ramonage."
04.5.1,Électricité,"- Électricité.
Sont inclus : dépenses connexes (location de compteur, relevé de compteur, redevances fixes, etc.)."
04.5.2,Gaz,"- Gaz de ville et gaz naturel;
- Hydrocarbures liquéfiés (butane, propane, etc.).
Sont inclus : dépenses connexes (location de compteur, relevé de compteur, récipients de stockage, redevances fixes, etc.)."
04.5.3,Combustibles liquides,- Fioul domestique (pour le chauffage et l'éclairage).
04.5.4,Combustibles solides,"- Charbon, coke, boulets et briquettes, bois de feu, charbon de bois, tourbe, etc."
04.5.5,Énergie thermique,"- Eau chaude ou vapeur provenant d'une centrale de chauffage urbain.
Sont inclus : dépenses connexes (location de compteur, relevé de compteur, redevances fixes, etc.); glace utilisée pour rafraîchir ou réfrigérer."
05.1.1,Meubles et articles d'ameublement,"- Lits, canapés, divans, tables, chaises, buffets, commodes et étagères;
- Appareils d'éclairage (plafonniers, lampes et lampadaires, globes, lampes de chevet, etc.);
- Tableaux, sculptures, gravures, tapisseries et autres objets d'art, y compris les reproductions d'oeuvre d'art et autres objets décoratifs;
- Paravents, cloisons mobiles et autres meubles et appareils.
Sont inclus : frais de livraison et d'installation, le cas échéant; sommiers, matelas, tatamis; meubles de salle de bains; mobilier pour bébé (berceau, chaise haute, parc, etc.); volets; meubles de camping et de jardin; miroirs, bougeoirs et chandeliers."
05.1.2,Tapis et revêtements de sol divers,"- Tapis, moquette, linoléum et autres revêtements de sol analogues.
Sont inclus : pose des revêtements de sol."
05.1.3,"Réparation de meubles, d'articles d'ameublement et de revêtements souples pour le sol","- Réparation de meubles, d'articles d'ameublement et de revêtements souples pour le sol.
Sont inclus : valeur totale du service (c'est-à-dire le coût de la main-d'oeuvre et des fournitures); restauration d'oeuvres d'art, de mobilier ancien et de tapis anciens autres que ceux acquis principalement pour servir de réserve de valeur (formation de capital)."
05.2.0,Articles de ménage en textiles,"- Tissus d'ameublement, tissu pour rideaux, doubles rideaux, stores, rideaux de porte, etc.;
- Literie (futons, oreillers, traversins, hamacs, etc.);
- Linge de lit (draps, taies d'oreiller, couvertures, couvertures de voyage, plaids, duvets, couvre-lits et moustiquaires);
- Linge de table et de toilette (nappes, serviettes de table, serviettes et gants de toilette, etc.);
- Autres articles de ménage en textiles (cabas, sacs à linge, sacs à chaussures, housses pour vêtements et meubles, drapeaux, parasols, etc.);
- Réparation de ces articles.
Sont inclus : tissu d'ameublement à la coupe; toile cirée; tapis de salle de bains, nattes et paillassons."
05.3.1,"Gros appareils ménagers, électriques ou non","- Réfrigérateurs, congélateurs et réfrigérateurs-congélateurs;
- Lave-linge, sèche-linge, armoires sèche-linge, lave-vaisselle, machines à repasser;
- Cuisinières, rôtissoires, plaques de cuisson, réchauds, fours et fours à micro-ondes;
- Climatiseurs, humidificateurs, appareils de chauffage, chauffe-eau, ventilateurs et hottes aspirantes;
- Aspirateurs, nettoyeurs à vapeur, shampouineuses et machines à décaper, cirer et polir les parquets;
- Autres gros appareils ménagers (coffres-forts, machines à coudre, machines à tricoter, adoucisseurs d'eau, etc.).
Sont inclus : livraison et installation des appareils, le cas échéant."
05.3.2,Petits appareils électroménagers,"- Moulins à café, cafetières électriques, centrifugeuses, ouvre-boîtes, mixeurs, friteuses, grils, couteaux, grille-pain, sorbetières, yaourtières, plaques chauffantes, fers à repasser, bouilloires, ventilateurs mobiles, couvertures électriques, etc."
05.3.3,Réparation d'appareils ménagers,"- Réparation d'appareils ménagers.
Sont inclus : valeur totale du service (c'est-à-dire le coût de la main-d'oeuvre et des fournitures); frais de crédit-bail et de location de gros appareils électroménagers."
05.4.0,"Verrerie, vaisselle et ustensiles de ménage","- Verrerie, cristallerie, céramique et porcelaine utilisées pour la table, la cuisine, la salle de bains, les toilettes, au bureau et pour la décoration;
- Articles de coutellerie, couverts et argenterie;
- Ustensiles de cuisine non électriques, quelle qu'en soit la matière (casseroles, cocottes, autocuiseurs, poêles, moulins à café, presse-purée, hachoirs, chauffe-plats, balances de ménages et autres ustensiles mécaniques analogues);
- Articles ménagers non électriques, quelle qu'en soit la matière, telles que boîtes à pain, à café, à épices, etc.; poubelles, corbeilles à papier, paniers à linge, cassettes et coffres-forts portatifs, porte-serviettes, casiers à bouteille, fers à repasser non électriques et planches; boîtes aux lettres, biberons, bouteilles thermos et glacières;
- Réparation de ces articles."
05.5.1,Gros outillage et matériel,"- Outillage et matériel motorisés (perceuses, scies, ponceuses et taille-haies électriques, tracteurs de jardin, tondeuses à gazon, motoculteurs, tronçonneuses et pompes à eau);
- Réparation de ces articles.
Sont inclus : frais de crédit-bail ou de location d'outillage et de matériel de bricolage."
