code,title,description
01.1.1.4,Breakfast cereals,"* cornflakes, oatmeal and oat flakes, muesli, granola and puffed cereals including puffed rice cakes 
* breakfast cereals with nuts or dried fruit"
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products","* uncooked pasta, whether stuffed or not, and couscous 
* uncooked dumplings, ravioli and similar products"
01.1.2.1,Live land animals,"Live land animals, both domestic and wild, for human consumption as food. 
 * cattle (cows; calves; common ox, zebu or humped ox; watusi, gaur, gayal, banteng and yak) 
* buffaloes (Indian or water buffaloes; arnis, or Asiatic buffaloes; Celebes anoas, or pygmy buffaloes; African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo; American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle) 
* pigs 
* goats, lambs and sheep 
* poultry (chickens, ducks, geese, turkeys and guinea fowl) 
* hares and rabbits 
* horses, donkeys and other equines 
* camels, dromedaries, alpaca, llamas, guanacos, vicunas and other camelids 
* ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds 
* snakes and other reptiles 
* spiders, scorpions, insects and worms 
* terrestrial snails 
* frogs"
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked","Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked. 
 * bones 
* pork heads, tails and ears; and chicken feet"
01.1.3.1,"Fish, live, fresh, chilled or frozen","Fish, live, fresh, chilled or frozen. 
 * fish, live, purchased as food 
* fish, fresh, chilled or frozen 
* fish fillets and meat, whether minced or not, fresh, chilled or frozen"
01.1.3.3,Fish preparations,"Prepared foodstuffs consisting of fish, whether frozen or not. 
 * fillets covered only with batter or breadcrumbs, whether or not frozen 
* canned fish 
* surimi and other imitation crabmeat"
01.1.3.4,"Other seafood, live, fresh, chilled or frozen","* crabs, lobsters, crayfish, krill, sea spiders, shrimp, prawns and other crustaceans, live, fresh, chilled or frozen  
* cuttlefish; squid; octopuses; sea snails; abalone; and bivalves, such as oysters, scallops, mussels, clams, cockles, ark shells and other molluscs, live, fresh, chilled or frozen 
* sea urchins, beche-de-mer (sea cucumbers), jellyfish and other aquatic invertebrates, live, fresh, chilled or frozen"
01.1.3.5,"Other seafood, dried, salted, in brine or smoked","Other seafood, as listed in subclass 01.1.3.4, dried, salted, in brine or smoked."
01.1.4.2,Skimmed milk,"Skimmed and semi-skimmed milk of cattle and buffaloes, sheep and goats, camels and other animals"
01.1.4.5,Cheese,"All kinds of cheese (fresh, hard, semi-hard, blue cheese and cottage cheese) and curd, from animal and non-animal milk."
01.1.4.9,Other dairy products,"* whey and casein 
* cream, concentrated or containing added sugar or other sweeteners; and cream powder 
* other products consisting of milk constituents, milk protein concentrates, and products obtained from whey"
01.1.5.3,Margarine and similar preparations,"* margarine 
* diet margarine"
01.1.5.9,Other animal oils and fats,"* pig fat and lard, including leaves or other spices 
* fat from cattle, buffaloes, sheep, goats and poultry 
* greaves fat 
* oils and fats of fish"
01.1.6.1,"Dates, figs and tropical fruits, fresh","* dates 
* figs 
* avocados 
* sweet/dessert bananas 
* mangoes, guavas and mangosteens 
* papayas 
* pineapples 
* coconuts 
* breadfruits 
* other tropical and subtropical fruits, fresh"
01.1.6.4,"Berries, fresh","* currants and gooseberries 
* raspberries 
* blackberries 
* mulberries and loganberries 
* strawberries 
* other berries, fresh"
01.1.6.5,"Other fruits, fresh","* grapes 
* kiwi fruits 
* cantaloupes and other melons 
* watermelons 
* pomegranates 
* other fruits or mixtures of fruit, fresh, n.e.c."
01.1.6.6,"Fruits, frozen","Fruits cooked or uncooked, frozen, whether or not they contain added sugar or other sweetening matter."
01.1.6.7,"Fruits, dried and dehydrated","* raisins 
* prunes 
* dried apricots 
* dried coconuts 
* other dried fruits"
01.1.7.1,"Leafy or stem vegetables, fresh or chilled","* asparagus 
* cabbages 
* cauliflower and broccoli 
* lettuce and chicory 
* spinach 
* artichokes 
* other leafy or stem vegetables, fresh or chilled"
01.1.8.1,Cane sugar and beet sugar,"* cane and beet sugar, raw and refined, powdered, crystallized or in lumps"
01.1.8.2,Other sugars and sugar substitutes,"* sugars other than cane and beet sugar (e.g., coconut sugar) 
* stevia 
* glucose and glucose syrup, and fructose and fructose syrup 
* lactose and lactose syrup 
* invert sugar 
* artificial honey, saccharin and other artificial sweeteners 
* refined cane and beet sugar, in solid form, containing added flavouring or colouring matter 
* maple sugar and maple syrup, caramel, molasses, and sugars and sugar syrups n.e.c."
01.1.8.3,"Jams, marmalades, fruit jellies, purées and pastes, and honey","* jams, marmalades, compotes, fruit jellies, purees and pastes 
* honey 
 * lemon curd and other fruit curd"
01.1.8.4,"Nut purées, nut butters and nut pastes","* peanut butter 
* other nut butters, such as almond butter, cashew butter, hazelnut butter, macadamia nut butter, pecan butter, pistachio butter and walnut butter"
01.1.8.5,"Chocolate, cocoa and cocoa-based food products","* cocoa (including cocoa beans) and cocoa powder for all purposes 
* chocolate in bars or slabs 
* chocolate- and cocoa-based foods and cocoa-based desserts 
* chocolate- and cocoa-based creams and spreads 
* chocolate-covered food products, if the product is composed mainly of chocolate"
01.1.8.9,Other sugar confectionery and desserts n.e.c.,"* vegetables, fruit, nuts, fruit peels and other parts of plants, preserved with sugar 
* chewing gum, toffees, lollies, candies, pastilles 
* white chocolate 
* other confectionery products 
* desserts n.e.c."
01.1.9.1,Ready-made food,"Prepared food and meals that either can be eaten as is or after heating but that do not require cooking, or are assembled and portioned in such a way that they can be cooked. They may contain mixed ingredients and can be fresh, frozen, or dehydrated or instant. They can include sauces and dressings which, especially when the food is fresh, may be provided in separate containers. Sometimes, disposable forks, knives, spoons or chopsticks are packed together with the food. 
 * precooked dishes containing stuffed pasta, rice or other cereals, such as couscous, including vegetables, meat, fish, cheese or other ingredients; and ready-to- eat dumplings, ravioli, noodles and similar dishes, including sauce 
* ready-made dishes and meals based on precooked meat, meat substitutes or fish 
* TV dinners 
* mixed salads and other prepared dishes and meals based on vegetables, pulses or potatoes and also including other ingredients, such as meat, fish and cheese 
* sandwiches, pizzas, quiches, meat or fish pies, whether frozen or not 
* omelettes, crepes and other food products based on eggs when precooked and served as a main dish 
* ready-made soups including dehydrated and instant soups and stews; 
* other prepared ready-made dishes and meals, n.e.c. 
 * meal-kits"
01.1.9.2,Baby food,"Food and beverages intended for baby use exclusively. 
 * baby formula (powdered, condensed and evaporated milk for baby use) 
* baby rice cereals and flours for baby food 
* homogenized baby food"
01.1.9.4,"Spices, culinary herbs and seeds","* pepper, pimento, ginger and other spices 
* parsley, rosemary, thyme and other culinary herbs 
* poppy seed, sesame seed, linseed and other seeds"
01.2.1.0,Fruit and vegetable juices,"* fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter 
* syrups of fruit and vegetables and concentrates of fruit and vegetables 
* powdered juices"
02.1.1.0,Spirits and liquors,"* eaux de vie, liqueurs and other spirits with a high alcohol content 
* mead 
* pomace brandies, such as pisco, grappa and marc 
* aperitifs, other than wine-based aperitifs"
