CODE,NAME_EN,LEVEL,PARENT_CODE,InclusionNote
01.1.1.2,Flours and other cereals,4,01.1.1,"Includes:\r\n- maize, wheat, barley, oats, rye and other cereals in the form of grain, flour or meal\r\n- rice flour"
01.1.1.4,Other bakery products,4,01.1.1,"Includes:\r\n- crisp bread, rusks, toasted bread, biscuits, gingerbread, wafers, waffles, crumpets, muffins, croissants, cakes, tarts, sweet pies"
01.1.1.5,Pizza and quiche,4,01.1.1,"Includes: \r\n- farinaceous-based (flour based) products prepared with meat, fish, seafood, cheese, vegetables or fruit"
01.1.1.6,Pasta products and couscous,4,01.1.1,"Includes:\r\n- ravioli, cannelloni, lasagne etc.\r\n- pasta products in all forms\r\n- couscous, including prepared dishes made basically of pasta or couscous"
01.1.1.8,Other cereal products,4,01.1.1,"Includes:\r\n- mixes and doughs for the preparation of bakery products\r\n- other cereal products (malt, malt flour, malt extract, potato starch, tapioca, sago and other starches)"
01.1.2.4,Poultry,4,01.1.2,"Includes:\r\n- fresh, chilled or frozen meat of poultry (chicken, duck, goose, turkey, guinea fowl etc.)\r\n- poultry purchased live for consumption as food\r\n\r\nAlso includes: \r\n- minced meat made of poultry"
01.1.2.7,"Dried, salted or smoked meat",4,01.1.2,"Includes:\r\n- dried, salted or smoked meat (sausages, salami, bacon, ham, etc.)"
01.1.2.8,Other meat preparations,4,01.1.2,"Includes:\r\n- other preserved or processed meat and meat-based preparations (canned meat, meat extracts, meat juices, meat pies, etc.)\r\n- dumplings, filled pancakes with meat\r\n- minced meat, raw or prepared if mixed meat from more than one kind of minced meat\r\n- all kind of pâté, including liver pâté"
01.1.3.1,Fresh or chilled fish,4,01.1.3,Includes:\r\n- fresh or chilled fish\r\n- fish purchased live for consumption as food
01.1.3.2,Frozen fish,4,01.1.3,Includes:\r\n- frozen fish
01.1.3.3,Fresh or chilled seafood,4,01.1.3,"Includes:\r\n- fresh or chilled seafood (crustaceans, molluscs and other shellfish, sea snails)\r\n- seafood purchased live for consumption as food\r\n\r\nAlso includes: \r\n- land crabs, land snails and frogs"
01.1.3.4,Frozen seafood,4,01.1.3,Includes:\r\n- frozen seafood
01.1.3.6,Other preserved or processed fish and seafood-based preparations,4,01.1.3,"Includes:\r\n- other preserved or processed fish and seafood and fish and seafood-based preparations (canned fish and seafood, caviar and other hard roes, fish pies, battered fish, etc.)\r\n- dumplings, filled pancakes with fish"
01.1.4.4,Yoghurt,4,01.1.4,"Includes:\r\n- yoghurt containing or not sugar, cocoa, fruit or flavourings"
01.1.4.5,Cheese and curd,4,01.1.4,"Includes:\r\n- hard, semi-hard, blue cheese, cottage cheese, mozzarella, fromage blanc"""""
01.1.4.6,Other milk products,4,01.1.4,"Includes:\r\n- cream, milk-based desserts, milk-based beverages and other similar milk-based products\r\n- dairy products not based on milk such as soya milk"
01.1.5.2,Margarine and other vegetable fats,4,01.1.5,Includes:\r\n- margarine (including diet margarine) and other vegetable fats (including peanut butter)
01.1.5.3,Olive oil,4,01.1.5,Includes:\r\n- olive oil
01.1.5.4,Other edible oils,4,01.1.5,"Includes:\r\n- other edible oils (corn oil, sunflower-seed oil, cottonseed oil, soybean oil, groundnut oil, walnut oil, etc.)"
01.1.5.5,Other edible animal fats,4,01.1.5,"Includes:\r\n- edible animal fats (lard, etc.)"
01.1.6.2,Frozen fruit,4,01.1.6,Includes:\r\n- frozen fruit\r\n- frozen berries
01.1.6.3,Dried fruit and nuts,4,01.1.6,"Includes:\r\n- dried fruit, fruit peel, fruit kernels\r\n- nuts and edible seeds\r\n- dry berries"
01.1.7.2,Frozen vegetables other than potatoes and other tubers,4,01.1.7,"Includes:\r\n- frozen vegetables cultivated for their leaves or stalks (asparagus, broccoli, cauliflower, endives, fennel, spinach, etc.), for their fruit (aubergines, cucumbers, courgettes, green peppers, pumpkins, tomatoes, etc.) and for their roots (beetroots, carrots, onions, parsnips, radishes, turnips, etc.)"
01.1.7.3,"Dried vegetables, other preserved or processed vegetables",4,01.1.7,"Includes:\r\n- vegetable-based products, dietary preparations and culinary ingredients based exclusively on vegetables\r\n- mixtures of vegetables \r\n- canned or tinned vegetables\r\n- pulses"
01.1.7.6,Other tubers and products of tuber vegetables,4,01.1.7,"Includes:\r\n- manioc, arrowroot, cassava, sweet potatoes, etc.\r\n- products of tuber vegetables (flours, meals, flakes, purées)"
01.1.8.1,Sugar,4,01.1.8,"Includes:\r\n- cane or beet sugar, unrefined or refined, powdered, crystallized or in lumps"
01.1.8.2,"Jams, marmalades and honey",4,01.1.8,"Includes:\r\n- jams, marmalades, compotes, jellies, fruit purées and pastes, natural and artificial honey, maple syrup, molasses and parts of plants preserved in sugar"
01.1.8.4,Confectionery products,4,01.1.8,"Includes:\r\n- chewing gum, sweets, toffees, pastilles and other confectionery products"
01.1.8.6,Artificial sugar substitutes,4,01.1.8,Includes:\r\n- artificial sugar substitutes
01.1.9.1,"Sauces, condiments",4,01.1.9,"Includes:\r\n- sauces, condiments, seasonings (mustard, mayonnaise, ketchup, soy sauce, etc.), vinegar"
01.1.9.2,"Salt, spices and culinary herbs",4,01.1.9,"Includes:\r\n- salt, spices (pepper, pimento, ginger, etc.), culinary herbs (parsley, rosemary, thyme, etc.)"
01.1.9.4,Ready-made meals,4,01.1.9,"Includes:\r\n- ready-to-eat dishes (tinned food, frozen food or meals prepared in the day), irrespective of the composition, are classified in this category when the price only covers the cost of the product\r\n- sandwiches"
01.1.9.9,Other food products n.e.c.,4,01.1.9,"Includes:\r\n- prepared baking powders, baker's yeast, dessert preparations, soups, broths, stocks, culinary ingredients, etc.\r\n- dietary preparations irrespective of the composition"
01.2.1.2,Tea,4,01.2.1,"Includes:\r\n- tea, maté and other plant products for infusions\r\n\r\nAlso includes: \r\n- tea substitutes\r\n- extracts and essences of tea"
01.2.2.1,Mineral or spring waters,4,01.2.2,Includes:\r\n- mineral or spring waters\r\n- all drinking water sold in containers
01.2.2.3,Fruit and vegetable juices,4,01.2.2,Includes:\r\n- fruit and vegetable juices\r\n- syrups and concentrates for the preparation of beverages
02.1.2.2,Wine from other fruits,4,02.1.2,"Includes:\r\n- cider and perry, including sake"
02.1.2.4,Wine-based drinks,4,02.1.2,"Includes: \r\n- wine-based aperitifs, non-alcoholic wine"
02.1.3.2,Other alcoholic beer,4,02.1.3,"Includes:\r\n- Ale beers\r\n\r\nAlso includes: \r\n- hybrid or mixed style beers, such as Altbier and Kölsch, steam beers, fruit and vegetable beers, herb and spiced beers, wood-aged beers, smoked beers or champagne style beers"
02.1.3.3,Low and non-alcoholic beer,4,02.1.3,Includes:\r\n- low alcoholic beer do not have an harmonised % ABV in all EU Member States but it should be around less than 1% ABV
02.2.0.2,Cigars,4,02.2.0,Includes:\r\n- cigars
02.2.0.3,Other tobacco products,4,02.2.0,"Includes:\r\n- pipe tobacco, chewing tobacco or snuff\r\n- cigarette tobacco and cigarette paper"
03.1.2.1,Garments for men,4,03.1.2,"Includes:\r\n- garments for men, either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport or for work:\r\n  • capes, overcoats, raincoats, anoraks, parkas, jackets, trousers, waistcoats, suits, costumes, etc.\r\n  • shirts, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.\r\n  • vests, underpants, socks etc.\r\n- pyjamas, housecoats, dressing gowns, bathrobes, etc."
03.1.2.3,Garments for infants (0 to 2 years) and children (3 to 13 years),4,03.1.2,"Includes:\r\n- garments for infants (0 to 2 years), either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport\r\n- baby clothes and babies' booties made of fabric\r\n- garments for children (3 to 13 years), either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport:\r\n  • capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.\r\n  • shirts, blouses, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.\r\n  • vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips etc.\r\n- pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc."
03.2.1.1,Footwear for men,4,03.2.1,"Includes:\r\n- all footwear for men\r\n\r\nAlso includes\r\n- shoelaces\r\n- parts of footwear, such as heels, soles, etc., purchased by households with the intention of repairing footwear themselves\r\n- sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basket ball, boating, etc.)"
03.2.1.3,Footwear for infants and children,4,03.2.1,"Includes:\r\n- all footwear for children (3 to 13 years) and infants (0 to 2 years)\r\n\r\nAlso includes: \r\n- gaiters, leggings and similar articles\r\n- shoelaces\r\n- parts of footwear, such as heels, soles, etc., purchased by households with the intention of repairing footwear themselves\r\n- sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basket ball, boating, etc.)"
04.1.1.0,Actual rentals paid by tenants,4,04.1.1,Includes:\r\n- rentals actually paid by tenants or subtenants occupying unfurnished or furnished premises as their main residence\r\n\r\nAlso includes: \r\n- payments by households occupying a room in a hotel or boarding house as their main residence
04.1.2.1,Actual rentals paid by tenants for secondary residences,4,04.1.2,Includes:\r\n- rentals actually paid for secondary residences
04.1.2.2,Garage rentals and other rentals paid by tenants,4,04.1.2,"Rentals also include payment for the use of a garage to provide parking in connection with the dwelling. The garage does not have to be physically contiguous to the dwelling, nor does it have to be leased from the same landlord."
04.3.1.0,Materials for the maintenance and repair of the dwelling,4,04.3.1,"Includes:\r\n- products and materials, such as paints and varnishes, renderings, wallpapers, fabric wall coverings, window panes, plaster, cement, putty, wallpaper pastes, etc., purchased for minor maintenance and repair of the dwelling\r\n\r\nAlso includes:\r\n- small plumbing items (pipes, taps, joints, etc.), surfacing materials (floorboards, ceramic tiles, etc.) and brushes and scrapers for paint, varnish and wallpaper"
04.3.2.1,Services of plumbers,4,04.3.2,"Includes:\r\n- assembly, installation, repair and maintenance of pipe systems, drains, gutters, ducts, mechanical services and related fittings and fixtures for water, gas"
04.3.2.2,Services of electricians,4,04.3.2,Includes:\r\n- maintenance and repair electrical wiring systems and related equipment and fixtures
04.3.2.3,Maintenance services for heating systems,4,04.3.2,Includes:\r\n- maintenance and repair of heating systems
04.4.3.0,Sewage collection,4,04.4.3,Includes:\r\n- sewage collection and disposal
04.4.4.1,Maintenance charges in multi-occupied buildings,4,04.4.4,"Includes:\r\n- co-proprietor charges for caretaking, gardening, stairwell cleaning, heating and lighting, maintenance of lifts and refuse disposal chutes, etc. in multi-occupied buildings"
04.4.4.2,Security services,4,04.4.4,Includes:\r\n- security services
04.4.4.9,Other services related to dwelling,4,04.4.4,Includes:\r\n- road cleaning and chimney sweeping\r\n \r\nAlso includes:\r\n- snow removal
04.5.2.2,"Liquefied hydrocarbons (butane, propane, etc.)",4,04.5.2,"Includes: \r\n- associated expenditure such as storage containers, standing charges, etc."
04.5.3.0,Liquid fuels,4,04.5.3,Includes:\r\n- domestic heating and lighting oils
04.5.4.9,Other solid fuels,4,04.5.4,"Includes:\r\n- coke, briquettes, pellets, firewood, charcoal, peat and the like"
05.1.1.3,Lighting equipment,4,05.1.1,"Includes:\r\n- lighting equipment such as ceiling lights, standard lamps, globe lights and bedside lamps"
05.1.2.1,Carpets and rugs,4,05.1.2,"Includes:\r\n- loose carpets, fitted carpets"
