name,category,code,prediction,correct_option,correct_n,match
elledi latte leggero e deigeribile 1% di grassi senaza lattosio bio,"latticini | latte, uova e burro",01.1.4.2,01.1.8.2,False,0,False
caffe hag solubile 100g,coffee,01.2.2.0,01.2.2.0,True,12,True
nescafe gold iced salted caramel latte x6,beverages | coffee & tea,01.1.4.7,01.2.2.0,True,3,False
rocca olio di sansa 1l,groceries | oil & vinegar,01.1.5.1,01.1.5.1,True,5,True
carrefour tuna in olive oil  2x160 grms,tins cans & packets,01.1.9.1,01.1.3.3,False,0,False
distilleria marzadro grappa diciotto lune 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,02.2.0.0,True,1,False
innocent pomegranate magic,juices,01.2.1.0,01.1.6.5,True,4,False
"grevensteiner original 0,5 l",bier,02.1.3.0,02.1.3.0,True,4,True
rauch yippy apple juice,juices,01.2.1.0,01.2.1.0,True,6,True
hell apple strong 250ml,soft drinks,01.2.6.0,01.2.6.0,True,2,True
tetley redbush & vanilla tea 40 pcs.,tea,01.2.3.0,05.3.2.2,True,9,False
santal (ab) orange juice 100% 1ltr,juices & smoothies,01.2.1.0,01.2.1.0,True,7,True
cyprina exotic juice 1l,beverages | juices & ice-teas,01.2.1.0,01.2.3.0,True,6,False
carrefour monviso sparkling water,water,01.2.5.0,05.3.2.2,True,4,False
san michel fruit waves orange 500ml,bottled water,01.2.9.0,01.2.6.0,False,0,False
smoochie strawberry & banana smoochie,juices,01.2.1.0,01.2.1.0,True,6,True
fredu apuliano apuliano primitivo salento,wine,02.1.2.1,02.1.2.1,True,9,True
prosecco margherita  extra dry,wine,02.1.2.1,02.1.2.1,True,9,True
carrefour anchovy fillets in olive oil 46 grms,tins cans & packets,01.1.9.9,01.1.7.4,False,0,False
casa del arco tinto 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,9,True
bordon corned beef 200g,tins cans & packets,01.1.2.5,01.1.2.5,True,4,True
capsule espresso forza intensity 9,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,8,True
miguel torres hemisferio carmenere 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,9,True
percorsi di gusto primia nettare di frutti di bosco,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.9.0,True,5,False
sainsbury's valpolicella ripasso 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,10,True
"sprite gassosa 1,32 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,01.2.6.0,True,1,True
yoga pear juice  1 ltr,juices & smoothies,01.2.1.0,01.2.1.0,True,7,True
primia olio di semi di arachide,olio e conserve | olio,01.1.5.1,01.1.5.1,True,8,True
twining's english breakfast tea x25 002 grms,tea,01.2.3.0,05.3.2.2,True,7,False
santal (ab) coconut water,juices,01.2.9.0,01.1.9.3,False,0,False
carrefour selection extra dried porcini mushrooms 10g,tins cans & packets,01.1.7.9,01.1.7.4,True,3,False
schweppes bitter lemon pet 500ml,beverages | soft drinks & mixers,01.2.6.0,01.2.6.0,True,5,True
innocent apple juice 1.35 ltr,chilled fruit juice & smoothie,01.2.1.0,01.2.1.0,True,6,True
koppaberg alcohol free pear cider 50cl,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.2.2,02.1.2.2,True,1,True
capri-sonne mango & maracuja,juices,01.2.1.0,01.1.6.1,True,4,False
carapelli frontolivis oo 1l,groceries | oil & vinegar,01.1.5.1,01.2.1.0,True,4,False
quilmes argentina's beer,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.2.1,True,3,False
miguel torres reserva santa digna cabernet sauvignon,wine,02.1.2.1,02.1.2.1,True,9,True
flora buttery EUR1.99c,spreads,01.1.5.2,09.3.1.1,False,0,False
jagermeister matured in oak 700ml,spirits,02.1.1.0,02.1.1.0,True,2,True
lipton balance green tea bags 25 pcs.,tea,01.2.3.0,05.3.2.2,True,7,False
daura estrella birra chiara per celiaci,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,3,True
agros juice apple juice,juices,01.2.1.0,01.2.1.0,True,5,True
lavazza caffe qualita oro 750 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,12,True
clipper organic english breakfast tea 20 pcs.,tea,01.2.3.0,05.3.2.2,True,9,False
desira joghurt crisp 175g,milchprodukte,01.1.4.6,01.1.4.7,True,5,False
energy activator tropical trip,"acqua, bibite e succhi | bibite",01.2.9.0,01.2.9.0,True,3,True
yoga multivitamin juice,juices,01.2.1.0,06.1.1.1,True,5,False
lome super fruit succo di melagrana 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,5,True
sprite twin pack,soft drinks,01.2.6.0,01.2.6.0,True,3,True
staustell brewery proper job cornish ipa beer 500 ml,beer & cider,02.1.3.0,02.2.0.0,True,2,False
coldpress smoothie pineapple coconut & banana,juices,01.2.1.0,01.1.6.1,True,3,False
greco di tufo white wine,wine,02.1.2.1,02.1.2.1,True,9,True
yogi organic detox energy teabags 12 pcs.,tea,01.2.3.0,01.2.3.0,True,7,True
dolce gusto caffe ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,8,True
san benedetto dall the''  pesca 250 ml,soft drinks,01.2.3.0,02.4.0.0,False,0,False
il baluardo lambrusco grasparossa di castelvetro doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,01.2.6.0,True,1,False
thatchers gold cider bottle,cider,02.1.2.2,02.1.2.2,True,1,True
perrier 20cl gls x 6 pk,drinks | water | water - sparkling ,01.2.5.0,05.3.2.2,True,3,False
19 crimes cabernet sauvignon 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,11,True
tagua chardonnay  x,wine,02.1.2.1,02.1.2.1,True,11,True
carrefour selection te verde nilgiri 15 p,tea,01.2.3.0,05.3.2.2,True,9,False
ovaltine original light,hot drinks,01.2.9.0,05.5.2.2,True,1,False
white edition,"acqua, bibite e succhi | bibite",01.2.6.0,03.1.3.1,True,2,False
somerdale salted butter 200gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,01.1.9.3,True,2,False
heineken silver beer can,beer,02.1.3.0,02.2.0.0,True,3,False
