name,category,code,prediction,correct_option,match
elledi latte leggero e deigeribile 1% di grassi senaza lattosio bio,"latticini | latte, uova e burro",01.1.4.2,,False,False
caffe hag solubile 100g,coffee,01.2.2.0,01.2.2.0,True,True
nescafe gold iced salted caramel latte x6,beverages | coffee & tea,01.1.4.7,,False,False
rocca olio di sansa 1l,groceries | oil & vinegar,01.1.5.1,01.1.9.3,True,False
carrefour tuna in olive oil  2x160 grms,tins cans & packets,01.1.9.1,01.1.3.1,False,False
distilleria marzadro grappa diciotto lune 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,01.2.9.0,True,False
innocent pomegranate magic,juices,01.2.1.0,01.2.3.0,True,False
"grevensteiner original 0,5 l",bier,02.1.3.0,02.2.0.0,True,False
rauch yippy apple juice,juices,01.2.1.0,01.2.1.0,True,True
hell apple strong 250ml,soft drinks,01.2.6.0,,True,False
tetley redbush & vanilla tea 40 pcs.,tea,01.2.3.0,05.3.2.2,True,False
santal (ab) orange juice 100% 1ltr,juices & smoothies,01.2.1.0,01.2.1.0,True,True
cyprina exotic juice 1l,beverages | juices & ice-teas,01.2.1.0,01.2.1.0,True,True
carrefour monviso sparkling water,water,01.2.5.0,05.3.2.2,True,False
san michel fruit waves orange 500ml,bottled water,01.2.9.0,01.2.1.0,True,False
smoochie strawberry & banana smoochie,juices,01.2.1.0,01.2.1.0,True,True
fredu apuliano apuliano primitivo salento,wine,02.1.2.1,02.1.2.1,True,True
prosecco margherita  extra dry,wine,02.1.2.1,02.1.2.1,True,True
carrefour anchovy fillets in olive oil 46 grms,tins cans & packets,01.1.9.9,01.1.2.5,False,False
casa del arco tinto 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
bordon corned beef 200g,tins cans & packets,01.1.2.5,01.1.2.2,True,False
capsule espresso forza intensity 9,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
miguel torres hemisferio carmenere 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
percorsi di gusto primia nettare di frutti di bosco,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.3.0,True,False
sainsbury's valpolicella ripasso 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
"sprite gassosa 1,32 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,,True,False
yoga pear juice  1 ltr,juices & smoothies,01.2.1.0,01.2.1.0,True,True
primia olio di semi di arachide,olio e conserve | olio,01.1.5.1,01.1.5.1,True,True
twining's english breakfast tea x25 002 grms,tea,01.2.3.0,,True,False
santal (ab) coconut water,juices,01.2.9.0,,False,False
carrefour selection extra dried porcini mushrooms 10g,tins cans & packets,01.1.7.9,01.1.7.9,True,True
schweppes bitter lemon pet 500ml,beverages | soft drinks & mixers,01.2.6.0,01.2.6.0,True,True
innocent apple juice 1.35 ltr,chilled fruit juice & smoothie,01.2.1.0,01.2.1.0,True,True
koppaberg alcohol free pear cider 50cl,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.2.2,02.2.0.0,True,False
capri-sonne mango & maracuja,juices,01.2.1.0,01.2.1.0,True,True
carapelli frontolivis oo 1l,groceries | oil & vinegar,01.1.5.1,,True,False
quilmes argentina's beer,"acqua, bevande, alcolici | birra",02.1.3.0,,True,False
miguel torres reserva santa digna cabernet sauvignon,wine,02.1.2.1,02.1.2.1,True,True
flora buttery EUR1.99c,spreads,01.1.5.2,09.3.1.2,False,False
jagermeister matured in oak 700ml,spirits,02.1.1.0,05.6.1.9,True,False
lipton balance green tea bags 25 pcs.,tea,01.2.3.0,01.2.3.0,True,True
daura estrella birra chiara per celiaci,"acqua, bevande, alcolici | birra",02.1.3.0,02.1.3.0,True,True
agros juice apple juice,juices,01.2.1.0,01.2.1.0,True,True
lavazza caffe qualita oro 750 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,True
clipper organic english breakfast tea 20 pcs.,tea,01.2.3.0,01.2.3.0,True,True
desira joghurt crisp 175g,milchprodukte,01.1.4.6,,True,False
energy activator tropical trip,"acqua, bibite e succhi | bibite",01.2.9.0,01.2.1.0,True,False
yoga multivitamin juice,juices,01.2.1.0,01.2.1.0,True,True
lome super fruit succo di melagrana 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,01.2.1.0,True,True
sprite twin pack,soft drinks,01.2.6.0,,True,False
staustell brewery proper job cornish ipa beer 500 ml,beer & cider,02.1.3.0,02.2.0.0,False,False
coldpress smoothie pineapple coconut & banana,juices,01.2.1.0,01.1.6.1,True,False
greco di tufo white wine,wine,02.1.2.1,02.1.2.1,True,True
yogi organic detox energy teabags 12 pcs.,tea,01.2.3.0,01.2.3.0,True,True
dolce gusto caffe ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,01.2.2.0,True,True
san benedetto dall the''  pesca 250 ml,soft drinks,01.2.3.0,,False,False
il baluardo lambrusco grasparossa di castelvetro doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,01.2.9.0,True,False
thatchers gold cider bottle,cider,02.1.2.2,,True,False
perrier 20cl gls x 6 pk,drinks | water | water - sparkling ,01.2.5.0,05.3.2.2,True,False
19 crimes cabernet sauvignon 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
tagua chardonnay  x,wine,02.1.2.1,02.1.2.1,True,True
carrefour selection te verde nilgiri 15 p,tea,01.2.3.0,01.2.3.0,True,True
ovaltine original light,hot drinks,01.2.9.0,01.2.6.0,True,False
white edition,"acqua, bibite e succhi | bibite",01.2.6.0,03.1.3.1,False,False
somerdale salted butter 200gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,01.1.4.6,True,False
heineken silver beer can,beer,02.1.3.0,02.2.0.0,True,False
lavazza perfetto esp 250g,beverages | coffee & tea,01.2.2.0,01.2.2.0,True,True
schweppes tonica 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,02.1.9.0,True,False
kristal frutaqua lemon,water,01.2.6.0,,True,False
il montu' grappa di bonarda oltrepo pavese,"acqua, bevande, alcolici | liquori",02.1.1.0,,True,False
bolero instant drink pear,drinks | squashes | fruit & milk squashes,01.2.9.0,01.1.8.3,False,False
vital nature avena e cocco senza zuccheri aggiunti bio,"acqua, bibite e succhi | bevande vegetali",01.2.1.0,01.2.1.0,True,True
feudi di san gregorio fiano d'avellino doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.1.0,True,False
jimmy iced coffee caramel,cold coffee,01.2.2.0,01.2.3.0,True,False
lavazza caffe crema e gusto 500 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,01.2.2.0,True,True
sensi chianti docg in fiasco,"acqua, bevande, alcolici | vini",02.1.2.1,02.1.2.1,True,True
nescafe ispirazione italiana espresso roma 112 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,,True,False
jolly pear juice x6 x125ml,drinks | smoothies & juice drinks | long life juice,01.2.1.0,01.1.8.3,True,False
"milsani bergbauern-joghurt 0,45 kg, vanille",milchprodukte,01.1.4.6,,True,False
mont valentino 2021 merlot,wine,02.1.2.1,,True,False
san paolo red 75cl,drinks | wine | red wine,02.1.2.1,02.1.2.1,True,True
gavi del comune di gavi granee,wine,02.1.2.1,02.1.2.1,True,True
